Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield
SALSTEEL,SAL Steel Ltd.,,-2.54,-2.54,-1.62,-0.15,-0.15,0.0,67.6,1.25,0.34,-2.19,-2.54,,1.85,0.49,-3.24,-3.76,0,1.58,-7.63,-129.13,203.05,,1.36,1.05,18.11,0,0.0,0,0.0,,204.45,0.36,19.17,0.07,0,-33.58,0.07,-0.51
SALZERELEC,Salzer Electronics Ltd.,,15.21,15.1,22.6,179.57,179.57,1.6,350.23,40.26,32.66,20.21,14.99,,11.49,9.32,5.77,4.27,8.34,16.75,4.23,0.49,98.97,,1.38,0.82,3.92,12.83,8.51,87.17,91.49,,313.73,0.56,4.88,0.34,87.16,0.66,0.34,0.13
SAMPANN,Sampann Utpadan India Ltd.,,-1.68,-1.68,-0.59,5.98,5.98,0.0,4.5,-0.45,-1.54,-2.16,-1.68,,-10.05,-34.28,-47.95,-37.35,-28.11,-7.71,-7.61,2.61,20.38,,1.22,0.82,5.42,0,0.0,0,0.0,,82.43,4.51,-44.82,1.05,0,0.79,1.05,-0.36
SANDESH,Sandesh Ltd.,,83.38,83.38,95.08,955.75,955.75,5.0,550.74,140.97,129.27,128.48,83.38,,25.59,23.47,23.32,15.13,8.72,13.3,7.95,0.0,52.55,,7.16,6.73,16.91,7.22,6.33,92.78,93.67,,551.34,1.32,5.17,1.38,92.77,0.8,1.38,0.11
SANDHAR,Sandhar Technologies Ltd.,,15.84,15.84,26.92,117.73,117.73,2.5,338.42,37.81,26.73,23.59,15.84,,11.17,7.89,6.96,4.67,13.45,22.31,8.08,0.16,172.66,,1.04,0.75,15.14,7.89,4.64,92.11,95.36,,"1,684.31",0.83,7.4,0.77,92.1,2.22,0.77,0.06
SANGAMIND,Sangam (India) Ltd.,,3.96,3.96,24.38,133.64,133.64,1.0,475.3,43.5,23.08,6.2,3.96,,9.15,4.85,1.3,0.83,2.96,10.58,1.01,1.22,121.58,,1.26,0.74,5.29,25.24,4.1,74.76,95.9,,897.97,0.48,5.24,0.14,74.75,0.49,0.14,0.06
SANGHIIND,Sanghi Industries Ltd.,,2.1,2.1,4.94,65.75,65.75,0.0,42.27,7.22,4.38,2.1,2.1,,17.08,10.36,4.95,4.95,3.18,4.81,1.85,0.46,37.44,,1.1,0.67,4.47,0,0.0,0,0.0,,"2,151.77",2.03,11.87,1.47,0,0.95,1.47,0.03
SANGHVIMOV,Sanghvi Movers Ltd.,,-13.41,-13.41,19.12,169.37,169.37,0.0,65.24,23.6,-8.93,-19.93,-13.41,,36.17,-13.69,-30.54,-20.56,-7.91,-3.53,-4.66,0.48,22.7,,0.77,0.7,24,0,0.0,0,0.0,,829.01,2.94,8.12,1.7,0,0.65,1.7,-0.12
SANGINITA,Sanginita Chemicals Ltd.,,2.28,2.28,2.66,20.41,20.41,0.0,108.64,5.39,5.01,3.16,2.28,,4.95,4.61,2.91,2.1,11.18,24.26,5.5,0.83,262.07,,1.87,1.34,9.91,0,0.0,0,0.0,,139.69,0.74,15.02,0.59,0,3.14,0.59,0.04
SARDAEN,Sarda Energy and Minerals Ltd.,,59.6,59.6,73.46,434.31,434.31,5.0,458.65,112.73,98.87,89.13,59.6,,24.57,21.55,19.43,12.99,13.72,20.59,10.33,0.17,79.5,,2.24,1.37,5.5,8.38,6.8,91.62,93.2,,"1,397.26",0.85,3.44,0.68,91.61,0.72,0.68,0.19
SAREGAMA,Saregama India Ltd.,,29.83,29.8,31.56,244.76,244.76,3.0,301.18,52.74,51.01,47.25,29.83,,17.51,16.93,15.68,9.9,12.18,18.33,7.5,0.14,75.79,,1.61,1.16,5.67,0,0.0,0,0.0,,"1,088.71",2.08,11.86,1.97,0,2.42,1.97,0.05
SARLAPOLY,Sarla Performance Fibers Ltd.,,3.53,3.53,5.27,38.49,38.49,1.1,37.88,7.67,5.94,5.07,3.53,,20.25,15.68,13.38,9.32,9.18,11.97,5.32,0.45,57.1,,1.46,1.18,8.12,14.23,9.54,85.77,90.46,,306.56,0.97,4.78,0.67,85.76,0.66,0.67,0.14
SATIA,Satia Industries Ltd.,,87.77,87.77,135.5,307.57,307.57,2.5,738.41,178.59,130.86,110.08,87.77,,24.18,17.72,14.9,11.88,28.53,26.0,13.29,0.52,111.81,,1.34,0.76,8.19,2.84,1.84,97.16,98.16,,781.16,1.06,4.37,0.85,97.15,2.04,0.85,0.14
SBILIFE,SBI Life Insurance Company Ltd.,,13.27,13.27,13.27,75.76,75.76,2.0,444.7,17.38,17.37,17.3,13.27,,3.9,3.9,3.88,2.98,17.51,1.21,0.9,0.0,0.33,,1.78,1.78,0,15.07,15.06,84.93,84.94,,"55,534.37",1.25,31.95,1.3,84.92,7.65,1.3,0.02
SBIN,State Bank of India,,0.97,0.97,0.97,247.53,247.53,0.0,272.13,0.97,,0,0,0,,0,0,0,,0.0,0.0,0.35,-14.14,0.02,0.39,2.4,44.68,6.59,0.95,-0.93,1.89,4.19,,"3,423,771.88",14.1,1.3,1.18,100.0,0.0,
SCI,Shipping Corporation of India Ltd.,,-2.62,-2.62,11.52,149.88,149.88,0.0,84.28,17.81,3.67,-1.61,-2.62,,21.12,4.35,-1.9,-3.1,-1.74,1.76,-0.86,0.59,27.74,,0.61,0.58,24.57,0,0.0,0,0.0,,"4,883.69",1.24,5.89,0.45,0,0.25,0.45,-0.07
SEAMECLTD,Seamec Ltd.,,30.17,30.17,49.12,136.63,136.63,0.0,119.5,50.87,31.93,31.69,30.17,,42.57,26.71,26.51,25.24,22.08,23.26,15.53,0.01,61.51,,1.27,1.17,19.96,0,0.0,0,0.0,,"1,086.50",3.58,8.4,3.57,0,3.12,3.57,0.07
SECURKLOUD,Securekloud Technologies Ltd.,,3.19,3.19,3.3,28.84,28.84,0.0,18.66,7.76,7.64,4.47,3.19,,41.56,40.96,23.93,17.09,11.05,16.25,4.96,0.83,29.03,,1.41,1.41,0,0,0.0,0,0.0,,374.23,6.57,15.81,5.31,0,3.43,5.31,0.03
SELAN,Selan Exploration Technology Ltd.,,31.54,31.54,34.4,205.82,205.82,5.0,58.96,35.91,34.05,34.01,32.54,,60.9,57.75,57.68,55.19,15.81,14.12,13.26,0.0,24.03,,27.15,25.92,11.51,15.91,15.05,84.09,84.95,,272.84,2.92,4.8,3.09,84.08,0.88,3.09,0.18
SEPC,SEPC Ltd.,,0.3,0.3,0.35,12.95,12.95,0.0,7.62,1.38,1.32,0.29,0.29,,18.12,17.37,3.86,3.86,2.27,7.49,1.12,0.5,29.19,,1.82,1.78,19.24,0,0.0,0,0.0,,"1,338.64",1.81,9.97,1.08,0,0.63,1.08,0.04
SESHAPAPER,Seshasayee Paper and Boards Ltd.,,30.13,30.13,177.46,688.15,688.15,20.0,"1,050.94",252.89,226.11,215.15,150.67,,24.06,21.51,20.47,14.33,21.89,26.42,13.47,0.06,93.95,,1.75,1.35,9.85,9.95,8.45,90.05,91.55,,916.16,0.69,2.87,0.89,90.04,1.35,0.89,0.16
SETCO,Setco Automotive Ltd.,,2.71,2.71,4.15,19.65,19.65,1.0,45.89,7.96,6.51,3.97,2.71,,17.33,14.19,8.65,5.9,13.79,30.51,5.47,0.75,92.73,,0.91,0.58,5.01,29.52,19.25,70.48,80.75,,630.13,1.03,5.92,0.72,70.47,1.68,0.72,0.08
SEYAIND,Seya Industries Ltd.,,35.97,35.97,42.47,335.75,335.75,1.5,167.8,57.08,50.58,43.19,35.97,,34.01,30.14,25.73,21.43,10.71,8.03,5.48,0.78,25.58,,2.83,2.35,13.14,3.26,2.76,96.74,97.24,,"1,770.36",4.29,12.61,2.73,96.73,1.36,2.73,0.08
SFL,Sheela Foam Ltd.,,25.35,25.35,31.72,137.15,137.15,0.0,371.8,43.87,37.5,36,25.35,,11.8,10.08,9.68,6.81,18.48,24.15,12.09,0.0,177.32,,2.22,1.64,11.86,0,0.0,0,0.0,,"6,126.39",3.38,28.62,3.38,0,9.17,3.38,0.02
SGL,STL Global Ltd.,,16.04,16.04,16.72,-13.42,-13.42,0.0,54.47,17.11,16.3,15.91,15.91,,31.41,29.92,29.2,29.2,-118.5,58.97,45.05,-1.57,154.28,,3.42,2.78,11.13,0,0.0,0,0.0,,72.5,0.49,1.56,0.11,0,-0.45,0.11,2.63
SHAH,SHAH METACORP Ltd.,,-1.3,-1.3,-0.86,2.37,2.37,0.0,9.34,-0.16,-0.58,-1.36,-1.28,,-1.76,-6.25,-14.55,-13.72,-54.13,-21.37,-10.25,1.97,74.71,,1,0.78,4.44,0,0.0,0,0.0,,152.09,1.03,-58.43,0.53,0,2.09,0.53,-0.26
SHAHALLOYS,Shah Alloys Ltd.,,0.38,0.38,6.95,-76.15,-76.15,0.0,287.93,3.74,-2.83,-6.31,0.38,,1.29,-0.98,-2.19,0.13,-0.49,-22.61,0.13,-1.04,106.47,,0.32,0.07,4.56,0,0.0,0,0.0,,188.6,0.33,25.49,0.06,0,-0.21,0.06,0.02
SHALPAINTS,Shalimar Paints Ltd.,,-15.2,-15.2,-13.62,53.78,53.78,0.0,53.62,-11.14,-12.72,-20.29,-15.2,,-20.77,-23.71,-37.84,-28.35,-28.26,-21.74,-14.15,0.5,49.94,,1.11,0.83,4.03,0,0.0,0,0.0,,489.82,1.7,-8.2,1.52,0,1.51,1.52,-0.19
SHANTIGEAR,Shanthi Gears Ltd.,,4.08,4.08,5.38,36.97,36.97,6.0,29.74,6.5,5.2,5.2,4.08,,21.84,17.47,17.47,13.72,11.04,13.99,9.45,0.0,68.9,,5.45,4.03,3.46,122.51,92.92,-22.51,7.08,,"1,055.43",4.34,19.88,4.43,-22.51,3.56,4.43,0.03
SHARDACROP,Sharda Cropchem Ltd.,,15.96,15.96,26.97,130.03,130.03,4.0,178.13,35.92,24.92,24.01,15.96,,20.16,13.99,13.47,8.96,12.27,17.71,7.05,0.0,78.76,,1.8,1.38,4.89,25.05,14.83,74.95,85.17,,"3,277.89",2.04,10.11,2.09,74.94,2.86,2.09,0.04
SHARDAMOTR,Sharda Motor Industries Ltd.,,147.76,147.76,216.65,737.07,737.07,0.0,"1,916.94",281.36,212.47,212.39,147.76,,14.67,11.08,11.07,7.7,20.04,28.1,12.83,0.0,166.49,,1.98,1.54,11.06,4.23,2.88,95.77,97.12,,746.65,0.66,4.46,0.78,95.76,2.03,0.78,0.1
SHEMAROO,Shemaroo Entertainment Ltd.,,31.68,31.68,33.72,213.46,213.46,1.65,201.62,59.98,57.94,48.51,31.68,,29.74,28.73,24.05,15.71,14.84,26.82,10.21,0.34,65.03,,3.07,0.72,0.91,5.89,5.54,94.11,94.46,,"1,283.43",2.34,7.87,1.98,94.1,1.87,1.98,0.08
SHILPAMED,Shilpa Medicare Ltd.,,16.65,16.65,19.39,157.19,157.19,1.0,81.43,25.03,20.86,21.28,15.22,,30.74,25.61,26.13,18.69,9.68,11.82,7.43,0.12,39.79,,2.27,1.5,3.76,0,0.0,0,0.0,,"2,842.43",4.28,13.93,4.18,0,2.16,4.18,0.04
SHIVAMAUTO,Shivam Autotech Ltd.,,-1.82,-1.82,3.05,17.27,17.27,0.0,63.56,8.38,3.5,-1.37,-1.82,,13.18,5.5,-2.15,-2.86,-10.54,9.3,-2.42,2.16,84.55,,0.65,0.36,5.83,0,0.0,0,0.0,,727.25,1.14,8.68,0.57,0,2.09,0.57,-0.05
SHIVAMILLS,Shiva Mills Ltd.,,7.64,7.64,13.66,95.57,95.57,1.4,202.9,23.51,17.49,8.79,7.64,,11.58,8.61,4.33,3.76,7.99,16.79,4.26,0.63,113.37,,1.13,0.53,4.5,0,0.0,0,0.0,,91.18,0.52,4.49,0.25,0,0.53,0.25,0.15
SHIVATEX,Shiva Texyarn Ltd.,,5.17,5.17,15.48,86.4,86.4,1.1,272.73,33.19,22.88,6.18,5.17,,12.16,8.38,2.26,1.89,5.98,14.11,1.83,1.56,97.02,,1,0.47,4.4,30.94,10.33,69.06,89.67,,386.14,1.09,8.98,0.63,69.05,1.99,0.63,0.03
SHK,S H Kelkar & Company Ltd.,,3.15,3.15,4.16,41.25,41.25,1.75,47.99,5.8,4.75,4.3,3.11,,12.08,9.9,8.96,6.47,7.53,10.98,5.04,0.15,77.88,,1.41,0.7,3.73,56.3,42.09,43.7,57.91,,"2,300.19",3.31,27.42,3.2,43.69,3.72,3.2,0.02
SHOPERSTOP,Shoppers Stop Ltd.,,8.95,8.95,24.3,111.11,111.11,0.75,395.65,30.82,15.47,14.06,8.95,,7.79,3.91,3.55,2.26,8.05,13.92,3.18,0.0,140.63,,0.92,0.22,3.3,8.38,3.08,91.62,96.92,,"4,130.24",1.19,15.23,1.19,91.61,4.24,1.19,0.02
SHREECEM,Shree Cements Ltd.,,273,273,672.43,"2,754.70","2,754.70",60.0,"3,364.52",831.87,432.42,310.4,272.98,,24.72,12.85,9.22,8.11,9.9,11.4,6.25,0.29,77.15,,2.01,1.21,7.38,20.14,8.17,79.86,91.83,,"67,392.33",5.75,23.25,5.54,79.85,6.76,5.54,0.01
SHREERAMA,Shree Rama Multi Tech Ltd.,,-0.48,-0.48,0.94,0.54,0.54,0.0,18.47,1.32,-0.1,-0.7,-0.48,,7.17,-0.52,-3.78,-2.57,-88.79,-0.63,-2.09,27.41,81.18,,1.29,0.74,4.44,0,0.0,0,0.0,,131.28,1.12,15.6,0.32,0,11.13,0.32,-0.08
SHREYANIND,Shreyans Industries Ltd.,,33.96,33.96,40.75,143.39,143.39,5.0,415.13,62.38,55.59,50.98,33.96,,15.02,13.39,12.28,8.18,23.68,30.55,13.62,0.14,166.58,,1.69,1.24,13.82,5.3,4.41,94.7,95.59,,231.63,0.4,2.69,0.36,94.69,1.05,0.36,0.23
SHREYAS,Shreyas Shipping Ltd.,,15.33,15.33,24.83,152.85,152.85,1.2,284.51,33.32,23.82,15.63,15.32,,11.71,8.37,5.49,5.38,10.02,10.27,4.69,0.74,87.23,,1.22,1.11,27.43,11.76,7.26,88.24,92.74,,683.66,1.09,9.34,0.71,88.23,1.33,0.71,0.08
SHRIPISTON,Shriram Pistons & Rings Ltd.,,61.88,61.88,104.03,454.39,458.75,10.0,873.7,141.89,99.73,93.51,61.88,,16.24,11.41,10.7,7.08,13.61,19.11,8.82,0.05,124.64,,2.07,1.2,5.63,19.48,11.58,80.52,88.42,,"2,292.30",1.17,7.22,1.18,80.51,2.26,1.18,0.06
SHRIRAMFIN,Shriram Finance Ltd.,,113.01,113.01,114.89,697.94,697.94,12.0,684.41,499.45,497.56,166.52,113,,72.97,72.69,24.33,16.51,16.19,16.88,2.43,5.55,14.74,,2.73,2.73,0,9.73,9.57,90.27,90.43,,"112,826.38",7.27,9.96,1.86,90.26,1.82,1.86,0.09
SHYAMCENT,Shyam Century Ferrous Ltd.,,0.47,0.47,0.6,5.18,5.18,0.0,6,0.85,0.72,0.67,0.47,,14.14,12.06,11.09,7.86,9.09,13.59,7.99,0.02,101.7,,5.18,3.79,7.55,0,0.0,0,0.0,,132.62,0.99,7.04,1.05,0,1.21,1.05,0.07
SHYAMTEL,Shyam Telecom Ltd.,,-10.97,-10.97,-10.58,-7.38,-7.38,0.0,7.67,-1.66,-1.92,-10.88,-10.84,,-21.66,-25.07,-141.85,-141.35,0,26.48,-35.77,0.0,25.3,,0.67,0.64,7.1,0,0.0,0,0.0,,5.24,0.61,-2.8,0.97,0,-1.0,0.97,-1.46
SIEMENS,Siemens Ltd.,,30.52,30.52,36.63,254.03,254.03,7.0,384.38,52.54,46.43,46.11,30.53,,13.66,12.07,11.99,7.94,12.01,17.67,7.14,0.0,89.96,,2.12,1.93,12.5,22.93,19.11,77.07,80.89,,"49,035.58",3.58,26.22,3.94,77.06,5.96,3.94,0.02
SIGIND,Signet Industries Ltd.,,4.54,4.54,7.14,56.67,56.67,0.5,331.52,24.77,22.29,7.48,4.66,,7.47,6.72,2.25,1.4,8.22,30.5,2.09,1.16,149.09,,1.27,0.82,4.96,10.72,6.99,89.28,93.01,,284.66,0.29,3.9,0.11,89.27,0.67,0.11,0.12
SIMPLEXINF,Simplex Infrastructures Ltd.,,22.01,22.01,50.62,357.34,357.34,0.5,"1,053.44",143.37,114.12,32.02,21.37,,13.6,10.83,3.03,2.02,5.98,26.31,1.28,1.64,63.42,,1.18,1.07,7.81,2.3,0.97,97.7,99.03,,"4,277.62",0.71,5.2,0.17,97.69,0.5,0.17,0.12
SIRCA,Sirca Paints India Ltd.,,9.45,9.45,14.69,91.87,91.87,1.0,63.59,20.82,20.31,20.25,14.18,,32.74,31.93,31.83,22.29,15.42,22.04,13.57,0.0,60.88,,6.86,5.67,4.34,0,0.0,0,0.0,,373.28,3.21,9.81,3.91,0,2.71,3.91,0.06
SIYSIL,Siyaram Silk Mills Ltd.,,21.58,21.58,34.79,161.6,161.6,4.4,387.18,57.49,44.29,32.96,21.58,,14.84,11.43,8.51,5.57,13.35,21.07,6.72,0.54,120.6,,1.78,0.97,4.32,10.19,6.32,89.81,93.68,,"2,491.92",1.37,9.25,1.15,89.8,2.76,1.15,0.05
SJVN,SJVN Ltd.,,3.47,3.47,4.46,28.6,28.6,2.15,6.76,5.82,4.83,4.56,3.47,,86.14,71.45,67.49,51.37,12.13,13.49,9.14,0.17,17.79,,5.5,5.44,59.15,43.2,33.59,56.8,66.41,,"8,544.50",3.22,3.73,3.58,56.79,0.85,3.58,0.14
SKFINDIA,SKF India Ltd.,,65.7,65.7,77.3,343.23,343.23,12.0,613.78,116.96,107.57,106.03,67.91,,19.05,17.52,17.27,11.06,19.78,30.75,14.61,0.05,132.12,,3.02,2.2,6.58,18.34,16.12,81.66,83.88,,"9,462.83",3.12,16.36,3.29,81.65,5.88,3.29,0.03
SKIPPER,Skipper Ltd.,,3.04,3.04,6.73,63.18,63.18,0.25,182.22,17.77,14.08,4.19,3.04,,9.75,7.72,2.29,1.66,4.81,16.51,1.88,0.74,113.19,,1.44,0.75,3.5,65.43,29.56,34.57,70.44,,"1,240.10",0.66,6.8,0.41,34.56,1.19,0.41,0.04
SMSPHARMA,SMS Pharmaceuticals Ltd.,,4.9,4.9,7.17,40.16,40.16,0.25,54.92,11.05,8.77,7.37,4.9,,20.11,15.96,13.41,8.91,12.19,17.22,7.18,0.38,80.59,,1.42,0.49,3.41,6.15,4.2,93.85,95.8,,641.85,1.38,6.86,1.13,93.84,1.55,1.13,0.08
SNOWMAN,Snowman Logistics Ltd.,,0.58,0.58,3.04,26.04,26.04,0.0,13.92,3.72,1.27,0.65,0.58,,26.76,9.09,4.67,4.17,2.23,4.23,1.73,0.13,41.4,,0.95,0.95,0,0,0.0,0,0.0,,606.53,2.61,9.75,2.37,0,1.27,2.37,0.02
SOMANYCERA,Somany Ceramics Ltd.,,10.92,10.92,18.24,139.71,139.71,2.0,400.09,32.18,24.87,16.96,10.92,,8.04,6.21,4.23,2.73,7.81,13.8,3.57,0.42,131.09,,1.48,1.17,10.46,24.71,14.8,75.29,85.2,,"2,005.49",1.18,14.7,1.05,75.28,3.02,1.05,0.03
SUMIT,Soma Textiles and Industries Ltd.,,-5.23,-5.23,-4.28,-12.53,-12.53,0.0,11.57,-1.53,-2.41,-4.89,-5.17,,-13.18,-20.85,-42.24,-44.64,0,-11.32,-11.09,-2.67,24.84,,0.31,0.27,12.21,0,0.0,0,0.0,,109.98,2.86,-21.69,0.43,0,-0.4,0.43,-1.03
SOMICONVEY,Somi Conveyor Beltings Ltd.,,1.31,1.31,4.24,48.83,48.83,0.0,51.5,7.76,4.84,1.85,1.31,,15.07,9.39,3.59,2.54,2.68,8.95,1.53,0.43,60.18,,1.87,0.82,1.54,45.92,14.23,54.08,85.77,,50.91,0.84,5.57,0.48,54.07,0.5,0.48,0.05
SONATSOFTW,Sonata Software Ltd.,,16.59,16.58,17.19,51.31,51.31,12.75,79.82,23.59,23,23.04,16.6,,29.55,28.81,28.86,20.79,32.34,43.37,26.24,0.0,126.24,,5.02,5.02,0,69.24,66.86,30.76,33.14,,"3,427.80",4.13,13.99,4.24,30.75,6.59,4.24,0.05
SOUTHBANK,South Indian Bank Ltd.,,1.37,1.37,1.75,28.17,29.49,0.25,38,1.37,,"8,147,539.93","293,287.32","169,566,188.03",,"79,040,502.30","2,845,224.14","1,644,986,927.59",,1.36,24.2,3.59,-6.96,0.26,4.85,2.18,32.86,7.45,0.78,-0.51,1.63,5.26,,"84,654.72",12.31,0.59,0.44,70.75,0.08,
SOUTHWEST,South West Pinnacle Exploration Ltd.,,3.82,3.82,11.95,58.54,58.54,0.5,59.22,16.81,12.5,9.89,7.64,,28.37,21.1,16.7,12.9,13.05,18.99,7.89,0.34,61.16,,2.02,1.38,3,0,0.0,0,0.0,,92.03,1.11,3.93,0.86,0,0.87,0.86,0.15
SPAL,S P Apparels Ltd.,,27.25,27.25,36.22,188.94,188.94,0.0,302.86,52.18,43.12,40.75,27.16,,17.22,14.23,13.45,8.96,14.37,19.68,7.89,0.4,87.99,,1.48,0.71,3.14,0,0.0,0,0.0,,953.6,1.23,7.11,1.06,0,1.69,1.06,0.08
SPARC,Sun Pharma Advanced Research Company Ltd.,,-5.69,-5.69,-5.49,11.8,11.8,0.0,7.29,-5.49,-5.79,-5.8,-5.8,,-75.34,-79.47,-79.52,-79.52,-49.09,-47.89,-36.49,0.0,45.89,,2.71,2.71,0,0,0.0,0,0.0,,"4,818.56",26.35,-34.97,26.35,0,16.26,26.35,-0.03
SPCENET,Spacenet Enterprises India Ltd.,,-0.01,-0.01,-0.01,-2.12,-2.12,0.0,0.11,-0.01,-0.01,-0.01,-0.01,,-4.71,-6.01,-6.01,-6.01,0,0.9,-16.33,-0.66,271.51,,0,0,0,0,0.0,0,0.0,,13.19,24.7,-523.71,11.93,0,-0.61,11.94,-0.01
SPECIALITY,Speciality Restaurants Ltd.,,-1.35,-1.35,5.55,47.29,47.29,0.0,73.76,5.77,-1.14,-1.14,-1.35,,7.82,-1.53,-1.53,-1.83,-2.85,-2.28,-2.22,0.0,121.45,,1.98,1.85,51.84,0,0.0,0,0.0,,479.46,1.38,17.7,1.41,0,2.2,1.41,-0.01
SPIC,Southern Petrochemical Industries Corporation Ltd.,,2.07,2.07,4.19,17.08,17.08,0.0,127.28,5.95,4.37,2.62,2.62,,4.67,3.43,2.05,2.05,15.33,17.61,2.65,1.05,1.5,,0.99,0.87,8.08,0,0.0,0,0.0,,807.43,0.31,6.67,0.2,0,1.49,0.2,0.1
SPLIL,SPL Industries Ltd.,,9.37,9.37,10.69,24.71,33.66,0.0,54.05,11.02,9.69,9.37,9.37,,20.38,17.93,17.33,17.33,37.91,28.66,22.2,0.03,128.13,,2.65,2.52,47.42,0,0.0,0,0.0,,121.74,0.78,3.81,0.86,0,1.89,0.86,0.2
SPMLINFRA,SPML Infra Ltd.,,13.54,13.54,13.02,92.61,92.61,0.0,349.83,54.57,53.66,16.43,12.11,,15.59,15.33,4.69,3.46,13.07,17.91,1.82,3.4,52.66,,1.07,1.04,26.23,0,0.0,0,0.0,,"1,320.94",0.92,5.91,0.09,0,0.32,0.09,0.41
SPYL,Shekhawati Poly-Yarn Ltd.,,-0.27,-0.27,0.02,-1.99,-1.99,0.0,4.28,0.02,-0.26,-0.27,-0.27,,0.49,-6.12,-6.26,-6.27,0,13.45,-6.58,-1.41,104.97,,0.12,0.09,23.34,0,0.0,0,0.0,,108.7,0.74,148.69,0.08,0,-0.18,0.08,-0.77
SREEL,Sreeleathers Ltd.,,12.36,12.36,12.82,115.04,115.04,0.0,66.65,15.13,14.66,17.57,12.36,,22.7,21.99,26.36,18.53,10.73,12.58,9.81,0.0,52.95,,1.52,0.91,11.68,0,0.0,0,0.0,,575,3.43,15.11,3.46,0,2.01,3.46,0.05
SRF,SRF Ltd.,,90.01,90.01,143.98,669.85,669.85,12.0,"1,060.78",199.65,144.07,114.37,88.41,,18.82,13.58,10.78,8.33,13.19,14.17,5.96,0.7,71.55,,1.03,0.62,5.65,13.33,8.18,86.67,91.82,,"16,629.61",2.68,14.24,2.27,86.66,3.59,2.27,0.04
SRHHYPOLTD,Sree Rayalaseema Hi Strength Hyp Ltd.,,11.9,11.9,38.07,189.52,189.52,2.0,409.06,58.45,32.28,24.59,11.9,,14.28,7.89,6.01,2.9,6.27,15.75,4.34,0.14,149.44,,1.65,1.33,18.95,19.21,6.0,80.79,94.0,,321.64,0.46,3.21,0.41,80.78,0.9,0.41,0.07
SSWL,Steel Strips Wheels Ltd.,,52.91,51.14,92.55,423.29,423.29,4.0,"1,309.32",168.93,129.21,69.84,52.83,,12.9,9.86,5.33,4.03,12.48,15.02,3.82,1.29,94.79,,0.93,0.51,6.04,9.12,5.2,90.88,94.8,,"2,075.93",1.02,7.88,0.66,90.87,2.04,0.66,0.06
STAR,Strides Pharma Science Ltd.,,12.33,12.32,21.59,363.69,363.69,3.0,171.69,28.33,19.06,12.62,12.32,,16.49,11.09,7.35,7.17,3.38,5.21,2.36,0.25,32.97,,1.2,0.86,3.25,16.22,9.26,83.78,90.74,,"4,851.72",3.16,19.13,2.75,83.77,1.3,2.75,0.03
STARPAPER,Star Paper Mills Ltd.,,34.08,34.08,36.89,291.69,291.69,2.5,242.02,36.25,33.43,33.02,34.08,,14.97,13.81,13.64,14.08,11.68,9.64,8.99,0.0,63.84,,2.98,2.01,7.7,8.88,8.2,91.12,91.8,,174.49,0.46,3.08,0.52,91.11,0.43,0.52,0.27
STCINDIA,State Trading Corporation of India Ltd.,,-146.85,-146.85,-144.32,-138.87,8.56,0.0,"1,483.91",-1.99,-4.52,-149.52,-146.85,,-0.13,-0.3,-10.07,-9.89,0,-2.26,-31.43,-1.08,317.63,,0.51,0.51,"55,646.50",0,0.0,0,0.0,,"1,593.74",0.18,-133.37,0.09,0,-0.99,0.09,-1.07
STEL,STEL Holdings Ltd.,,4.87,4.87,4.9,358.21,358.21,0.0,5.31,5.01,4.98,4.98,4.87,,94.29,93.78,93.78,91.69,1.36,1.39,1.36,0.0,1.48,,523.44,523.44,0,0,0.0,0,0.0,,171.98,17.54,18.6,18.94,0,0.28,18.94,0.05
STERTOOLS,Sterling Tools Ltd.,,12.45,12.45,17.74,78.89,78.89,2.0,142.18,25.62,20.33,19.32,12.45,,18.02,14.3,13.58,8.75,15.78,19.6,9.71,0.3,110.93,,2.21,1.28,6.21,19.36,13.59,80.64,86.41,,"1,245.39",2.43,13.49,2.27,80.63,4.09,2.27,0.04
STLTECH,Sterlite Technologies Ltd.,,13.32,13.16,17.46,39.45,39.45,3.5,120.8,26.69,22.52,20.15,13.3,,22.09,18.64,16.68,11,33.7,39.58,9.03,0.87,82.05,,0.92,0.82,12.76,18.08,13.76,81.92,86.24,,"10,031.57",2.06,9.34,1.81,81.91,5.54,1.81,0.06
