Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
SATIA,Satia Industries Ltd.,,19.22,19.22,39.93,73.32,73.32,0.4,188.37,42.58,21.87,18.35,19.22,,22.6,11.6,9.74,10.2,26.21,20.33,14,0.57,1.44,,1.47,0.79,4.49,2.08,1,97.92,99,,"1,455.46",0.77,3.42,0.56,97.91,1.44,0.56,0.18,
SBILIFE,SBI Life Insurance Company Ltd.,,17.19,17.18,17.87,130.06,130.06,2.5,805.64,21.31,20.63,20.53,17.19,,2.64,2.56,2.54,2.13,13.21,0.66,0.54,0,0.27,,1.85,1.85,0,14.54,13.99,85.46,86.01,,"105,898.47",1.31,49.65,1.36,85.45,8.46,1.36,0.02,
SBIN,State Bank of India,,56.29,56.29,59.98,335.98,367.08,11.3,372.12,56.29,,"14,080,635.81","2,129,775.27","323,204,939.97",,"148,227,208.30","22,420,197.99","3,402,386,553.49",,1.59,42.66,15.12,4.1,0.91,16.75,2.62,35.58,6.01,0.66,0.24,1.77,3.39,,"5,137,207.29",15.47,1.56,1.41,79.92,0.11,,
SCI,Shipping Corporation of India Ltd.,,17.18,17.18,33.35,136.78,136.78,0.44,124.39,35.86,19.69,15.74,17.18,,28.82,15.82,12.65,13.8,12.55,11.29,7.33,0.41,0.47,,0.96,0.91,0,1.92,0.98,98.08,99.02,,"6,408.10",1.11,3.84,0.76,98.07,0.69,0.76,0.18,
SEAMECLTD,Seamec Ltd.,,16.23,16.23,52.69,270.19,270.19,0,156.94,51.59,15.14,13.84,16.24,,32.87,9.64,8.82,10.34,6,5.29,4.84,0.08,0.49,,1.66,1.37,0,0,0,0,0,,"1,515.00",3.8,11.55,3.81,0,2.21,3.81,0.03,
SECURKLOUD,Securekloud Technologies Ltd.,,-0.82,-0.82,0.01,32.04,32.04,0,17.75,1.59,0.76,-0.82,-0.82,,8.94,4.29,-4.59,-4.6,-2.55,1.75,-1.55,0.48,0.34,,0.89,0.89,0,0,0,0,0,,157.26,2.65,29.63,1.79,0,0.99,1.79,-0.03,
SELAN,Selan Exploration Technology Ltd.,,20.29,20.29,34.79,236.77,236.77,0,77.59,41.26,26.76,26.48,20.29,,53.16,34.48,34.12,26.15,8.57,9.96,7.22,0,0.29,,12.6,11.34,0,0,0,0,0,,346.23,2.94,5.52,3.14,0,1.03,3.14,0.08,
SEPC,SEPC Ltd.,,-0.09,-0.09,-0.04,8.2,8.2,0,2.87,-0.4,-0.45,0.14,-0.09,,-13.91,-15.53,4.98,-2.98,-1.04,-4.14,-0.6,0.37,0.19,,2.56,2.56,0,0,0,0,0,,"1,736.67",4.58,-32.94,3.65,0,1.27,3.65,-0.01,
SESHAPAPER,Seshasayee Paper and Boards Ltd.,,64.18,64.18,71.73,261.84,261.84,6,345.94,93.78,86.27,85.74,64.21,,27.11,24.93,24.78,18.56,24.52,29.9,19.14,0,1.15,,3.03,2.18,5.23,4.07,3.65,95.93,96.35,,925.97,0.44,1.64,0.68,95.92,0.9,0.68,0.27,
SETCO,Setco Automotive Ltd.,,-0.66,-0.66,-0.66,5.6,5.6,0,0.09,0.11,0.11,0.11,-0.66,,132.06,132.06,127.45,-771.56,-11.76,1,-4.62,0.91,0.01,,0.67,0.67,0,0,0,0,0,,138.12,120.86,91.52,62.27,0,0.95,62.3,-0.12,
SEYAIND,Seya Industries Ltd.,,-9.29,-9.29,-2.53,312.79,312.79,0,13.97,-3.07,-9.83,-9.83,-9.29,,-21.98,-70.34,-70.39,-66.5,-2.96,-1.71,-1.52,0.93,0.02,,0.35,0.27,1.46,0,0,0,0,,825.14,22.23,-101.13,1.54,0,0.07,1.54,-0.43,
SFL,Sheela Foam Ltd.,,19.97,19.97,23.43,143.06,143.06,0,207.02,30.83,27.37,26.72,19.97,,14.89,13.22,12.9,9.64,13.96,18.45,10.79,0,1.18,,3.11,2.59,5.78,0,0,0,0,,"9,702.45",4.8,32.25,4.81,0,6.96,4.81,0.02,
SGL,STL Global Ltd.,,0.08,0.08,0.66,10.82,10.82,0,36.97,0.94,0.36,0.12,0.08,,2.54,0.97,0.31,0.21,0.74,2.25,0.32,0.45,1.35,,1.86,1.43,5.44,0,0,0,0,,56.13,0.56,21.91,0.43,0,1.46,0.43,0.01,
SHAH,SHAH METACORP Ltd.,,0.16,0.16,0.14,0.53,0.53,0,1.2,0.09,0,-0.01,0.05,,7.41,0.09,-0.72,4.14,9.35,0.04,1.37,3.82,0.38,,1.77,1.58,3.35,0,0,0,0,,119.27,2.99,40.33,2.02,0,4.55,2.02,0.02,
SHAHALLOYS,Shah Alloys Ltd.,,3.38,3.38,7.9,32.75,32.75,0,316.33,8.53,4.01,2.7,3.38,,2.69,1.26,0.85,1.06,10.32,9.24,1.99,1.14,1.84,,0.52,0.09,3.66,0,0,0,0,,158.99,0.25,9.42,0.14,0,1.32,0.14,0.08,
SHALPAINTS,Shalimar Paints Ltd.,,-5,-5,-3.24,46.3,46.3,0,67.23,-1.04,-2.8,-5,-5,,-1.54,-4.16,-7.43,-7.43,-10.79,-5.64,-5.96,0.42,0.77,,1.4,0.94,3.28,0,0,0,0,,"1,101.29",2.27,-146.46,2.03,0,2.95,2.03,-0.04,
SHANTIGEAR,Shanthi Gears Ltd.,,8.74,8.74,10.16,39.42,39.42,5,58.1,13.18,11.76,11.76,8.74,,22.67,20.23,20.23,15.04,22.17,29.78,17.74,0,1.24,,3.6,2.72,3.28,34.31,29.52,65.69,70.48,,"2,700.27",6.06,26.72,6.26,65.68,9.23,6.26,0.02,
SHARDACROP,Sharda Cropchem Ltd.,,35.99,35.99,63.49,221.93,221.93,6,367.18,73.51,46.02,45.59,35.99,,20.02,12.53,12.41,9.8,16.21,19.31,8.1,0,0.89,,1.58,1,1.64,16.66,9.45,83.34,90.55,,"4,328.44",1.31,6.53,1.33,83.33,2.2,1.33,0.07,
SHARDAMOTR,Sharda Motor Industries Ltd.,,69.09,69.09,84.66,262.96,262.96,17.27,908.11,108.81,93.24,92.6,69.09,,11.98,10.26,10.19,7.6,26.27,34.04,14.53,0,2.16,,1.87,1.53,12.52,11.79,9.62,88.21,90.38,,"1,500.13",0.56,4.64,0.62,88.2,2.13,0.62,0.12,
SHEMAROO,Shemaroo Entertainment Ltd.,,2.68,2.68,4.59,219.17,219.17,0,196.84,17.45,15.54,4.62,2.68,,8.86,7.89,2.34,1.36,1.22,6.89,0.7,0.53,0.56,,2.3,0.58,0,0,0,0,0,,600.44,1.12,12.66,0.54,0,0.49,0.54,0.03,
SHILPAMED,Shilpa Medicare Ltd.,,6.59,6.59,11.95,243.96,243.96,0,28.54,2.84,-2.52,-6.71,6.59,,9.94,-8.84,-23.52,23.08,2.7,-0.96,2.27,0.14,0.09,,2.63,2.24,0.64,0,0,0,0,,"2,273.39",9.18,92.25,8.04,0,0.94,8.04,0.03,
SHIVAMAUTO,Shivam Autotech Ltd.,,-2.84,-2.84,0.04,8.56,8.56,0,38.48,4.28,1.4,-2.69,-2.84,,11.11,3.62,-6.98,-7.38,-33.19,5.16,-5.29,4.03,0.73,,0.74,0.5,2.6,0,0,0,0,,617.54,1.31,11.81,0.54,0,2.43,0.54,-0.14,
SHIVAMILLS,Shiva Mills Ltd.,,-8.28,-8.28,-1.28,115.55,115.55,0,184.06,-0.54,-7.55,-8.65,-8.28,,-0.29,-4.09,-4.69,-4.5,-7.16,-6.35,-6.18,0,1.28,,3.46,2.29,4.34,-14.48,-93.76,114.48,193.76,,47.9,0.3,-102.2,0.37,114.48,0.59,0.37,-0.12,
SHIVATEX,Shiva Texyarn Ltd.,,-5.12,-5.12,5.76,103.46,103.46,0,316.97,18.81,7.92,-2.73,-5.12,,5.93,2.49,-0.86,-1.61,-4.95,4.8,-2.15,0.7,1.26,,1.05,0.43,3.5,0,0,0,0,,242.8,0.59,9.96,0.38,0,1.16,0.38,-0.04,
SHK,S H Kelkar & Company Ltd.,,3.86,3.86,5.74,46.44,46.44,2,63.55,10.05,8.07,5.53,3.77,,15.8,12.7,8.7,5.93,8.11,16.76,4.8,0.12,0.84,,1.31,0.46,1.9,19.89,13.05,80.11,86.95,,"1,441.15",1.64,10.36,1.56,80.1,2.14,1.56,0.04,
SHOPERSTOP,Shoppers Stop Ltd.,,10.88,10.8,45.67,21.13,21.13,0,364.61,68.84,34.04,14.78,10.87,,18.87,9.33,4.05,2.98,51.46,16.74,2.59,0.45,0.95,,0.8,0.17,0,0,0,0,0,,"7,180.81",1.8,9.51,1.78,0,30.65,1.78,0.02,
SHREECEM,Shree Cements Ltd.,,368.1,368.1,796.65,"5,068.86","5,068.86",100,"4,666.71",935.08,506.53,432,368.11,,20.03,10.85,9.25,7.88,7.26,9.5,5.14,0.14,0.68,,1.23,0.87,2.99,24.44,11.29,75.56,88.71,,"96,865.95",5.75,28.71,5.61,75.55,5.16,5.61,0.01,
SHREERAMA,Shree Rama Multi Tech Ltd.,,0.79,0.79,1.76,4.68,4.68,0,30.9,2.3,1.34,1.12,0.79,,7.45,4.34,3.61,2.57,16.95,8.43,3.77,2.54,1.52,,2.45,1.37,3.68,0,0,0,0,,136.27,0.69,9.31,0.28,0,1.85,0.28,0.09,
SHREYANIND,Shreyans Industries Ltd.,,53.14,53.14,62.66,218.37,218.37,5,626.08,81.21,71.69,67.8,53.14,,12.97,11.45,10.82,8.48,24.33,28.72,15.22,0.13,1.89,,1.84,1.47,8.5,3.76,3.19,96.24,96.81,,231.73,0.27,2.06,0.23,96.23,0.65,0.23,0.37,
SHREYAS,Shreyas Shipping Ltd.,,89.63,89.63,111.25,372.85,372.85,1.5,220.3,120.77,99.14,90.75,89.62,,54.82,45,41.19,40.68,24.03,17.93,14.49,0.61,0.43,,1.18,1.05,4.92,2.78,2.24,97.22,97.76,,994.9,2.06,3.75,1.08,97.21,0.64,1.08,0.38,
SHRIPISTON,Shriram Pistons & Rings Ltd.,,134.19,134.19,176.57,690.05,694.46,15,"1,182.76",231.42,189.04,180.21,134.19,,19.56,15.98,15.23,11.34,19.44,23.79,12.65,0.19,1.24,,2.5,1.94,2.97,10.43,7.92,89.57,92.08,,"1,887.25",0.72,3.7,0.85,89.56,1.46,0.85,0.13,
SHRIRAMFIN,Shriram Finance Ltd.,,159.69,158.99,173.69,"1,156.60","1,156.60",35,795.13,567.66,553.66,218.6,159.69,,71.39,69.63,27.49,20.08,13.8,16.17,2.93,3.65,0.17,,2.62,2.62,0,9.39,8.63,90.61,91.37,,"189,261.44",6.36,8.9,1.58,90.6,1.09,1.58,0.13,
SHYAMCENT,Shyam Century Ferrous Ltd.,,1.26,1.26,1.41,7.57,7.57,0.3,8.53,1.9,1.74,1.73,1.26,,22.3,20.44,20.25,14.71,16.58,22.76,14.64,0.01,0.97,,8.19,6.5,2.05,25.02,22.22,74.98,77.78,,247.92,1.37,6.14,1.94,74.97,2.18,1.94,0.08,
SHYAMTEL,Shyam Telecom Ltd.,,-4.31,-4.31,-4.17,-20.38,-20.38,0,0,-4.02,-4.17,-4.17,-4.32,,0,0,0,0,0,20.5,-21.41,0,0,,0.45,0.45,0,0,0,0,0,,7.58,0,-1.67,0,0,-0.36,0,-0.59,
SIEMENS,Siemens Ltd.,,53.67,53.67,59.97,365.86,365.86,10,504.64,78.34,72.06,71.49,53.69,,15.52,14.27,14.16,10.63,14.67,18.86,8.88,0,0.88,,2.09,1.81,1.65,18.63,16.68,81.37,83.32,,"123,581.84",6.88,44.31,7.28,81.36,10.04,7.28,0.01,
SIGIND,Signet Industries Ltd.,,4.31,4.31,7.52,70.14,70.14,0.5,345.72,24.55,21.47,6.5,4.43,,7.1,6.21,1.88,1.28,6.32,22.49,1.79,1.42,1.41,,1.39,0.8,1.76,11.27,6.65,88.73,93.35,,392.42,0.39,5.43,0.1,88.72,0.48,0.1,0.13,
SIMPLEXINF,Simplex Infrastructures Ltd.,,-88.59,-88.59,-73.45,49.91,49.91,0,269.67,10.83,-3.99,-149.99,-88.27,,4.01,-1.47,-55.62,-32.73,-176.86,-7.77,-4.92,20.92,0.16,,0.87,0.84,1.18,0,0,0,0,,"6,130.33",3.96,98.67,0.13,0,0.68,0.13,-2.6,
SIRCA,Sirca Paints India Ltd.,,8.41,8.41,18.44,96.89,96.89,1.5,97.7,24.29,22.68,22.66,16.83,,24.85,23.21,23.19,17.22,17.36,23.35,14.77,0,0.93,,5.42,3.23,0.91,11.88,10.84,88.12,89.16,,"1,713.71",6.4,25.75,6.59,88.11,6.65,6.59,0.03,
SIYSIL,Siyaram Silk Mills Ltd.,,53.73,53.73,66.05,243.42,243.42,11,475.64,87.28,74.96,70.75,53.73,,18.35,15.75,14.87,11.29,22.07,28.64,15.35,0.13,1.41,,2.66,1.63,2.26,18.98,15.44,81.02,84.56,,"2,100.80",0.94,5.14,0.88,81.01,1.71,0.88,0.13,
SJVN,SJVN Ltd.,,3.47,3.47,4.46,35.17,35.17,1.77,7.47,6.58,5.58,4.38,3.47,,88.04,74.74,58.65,46.44,9.86,10.42,5.89,0.52,0.13,,2.7,2.67,0,48.99,38.08,51.01,61.92,,"17,176.47",5.85,6.65,4.45,51,0.95,4.45,0.1,
SKFINDIA,SKF India Ltd.,,106.2,106.2,119.67,473.6,473.6,40,870.74,162.07,148.55,148.25,106.15,,18.61,17.06,17.02,12.19,22.41,30.83,16.51,0,1.48,,3.08,2.21,1.53,13.66,12.11,86.34,87.89,,"20,085.19",4.67,25.07,4.89,86.33,8.99,4.89,0.02,
SKIPPER,Skipper Ltd.,,3.19,3.19,7.74,74.8,74.8,0.1,192.88,19.27,14.72,4.59,3.19,,9.99,7.62,2.37,1.65,4.25,13.5,1.47,0.63,0.92,,1.32,0.49,1.6,3.13,1.29,96.87,98.71,,"1,441.96",0.73,7.29,0.5,96.86,1.29,0.5,0.03,
SMSPHARMA,SMS Pharmaceuticals Ltd.,,0.48,0.48,4.28,58.49,58.49,0.3,61.67,7.04,3.24,0.66,0.48,,11.41,5.26,1.06,0.78,0.82,4.16,0.44,0.51,0.58,,1.61,0.73,1.26,62.17,7.01,37.83,92.99,,734.33,1.41,12.32,0.94,37.82,0.99,0.94,0.01,
SNOWMAN,Snowman Logistics Ltd.,,0.8,0.8,3.93,25.23,25.23,0.75,25,5.75,2.62,1.29,0.8,,23,10.46,5.14,3.2,3.17,6.76,1.84,0.25,0.58,,1.76,1.66,0,93.55,19.06,6.45,80.94,,635.14,1.52,6.61,1.28,6.44,1.27,1.28,0.03,
SOMANYCERA,Somany Ceramics Ltd.,,21.21,21.21,31.47,184.4,184.4,3,575.1,41.04,30.78,28.7,21.21,,7.13,5.35,4.99,3.68,11.5,14.57,6.13,0.22,1.75,,1.19,0.8,1.64,14.14,9.53,85.86,90.47,,"2,140.53",0.88,12.28,0.85,85.85,2.65,0.85,0.04,
SUMIT,Soma Textiles and Industries Ltd.,,50.09,50.09,49.95,20.28,20.28,0,1.56,1.94,1.78,50.34,49.8,,124.07,114.01,"3,218.23","3,183.54",245.48,6.98,190.35,0.07,0.04,,2.3,2.3,0,0,0,0,0,,130.66,25.14,20.26,23.44,0,1.81,23.45,1.36,
SOMICONVEY,Somi Conveyor Beltings Ltd.,,2.94,2.94,3.8,56.45,56.45,0,79.57,6.79,5.93,3.63,2.94,,8.53,7.45,4.56,3.69,5.21,9.95,3.37,0.26,0.89,,2.19,1.22,1.73,0,0,0,0,,54.35,0.58,6.79,0.45,0,0.64,0.45,0.08,
SONATSOFTW,Sonata Software Ltd.,,15.89,15.89,17.22,39.91,39.91,15.75,66.39,20.88,19.55,19.05,15.89,,31.45,29.44,28.68,23.93,39.8,46.35,27.46,0,1.15,,2.65,2.65,0,105.33,97.17,-5.33,2.83,,"11,421.89",12.4,39.43,12.61,-5.33,20.98,12.61,0.02,
SOUTHBANK,South Indian Bank Ltd.,,3.7,3.7,4.12,31.89,31.89,0.3,34.56,3.7,,"7,493,193.20","802,950.27","167,259,709.31",,"76,948,717.02","8,245,615.96","1,717,614,865.96",,1.43,32.98,10.71,-0.51,0.71,11.61,2.79,37.9,6.71,0.75,-0.03,2.15,3.91,,"97,065.57",13.42,0.46,0.42,100,0.25,,
SOUTHWEST,South West Pinnacle Exploration Ltd.,,2.98,2.98,5.55,42.19,42.19,0.5,44.43,8.64,6.07,3.96,2.98,,19.45,13.67,8.91,6.71,7.06,12.24,4.12,0.53,0.63,,1.94,1.28,0.74,4.24,2.28,95.76,97.72,,366.51,2.96,15.2,2.51,95.75,2.65,2.51,0.03,
SPAL,S P Apparels Ltd.,,36.02,36.02,50.04,269.03,269.03,3,374.42,68.4,54.95,48.73,36.59,,18.26,14.67,13.01,9.77,13.6,18.34,9.14,0.24,0.94,,1.68,0.75,1.34,0,0,0,0,,915.98,0.97,5.34,0.86,0,1.19,0.86,0.11,
SPARC,Sun Pharma Advanced Research Company Ltd.,,-7.82,-7.82,-6.5,15.8,15.8,0,7.36,-6.26,-6.62,-6.86,-6.86,,-85.09,-90.01,-93.21,-93.21,-43.4,-33,-26.81,0,0.43,,2.54,2.54,0,0,0,0,0,,"5,712.17",23.92,-28.11,24.39,0,11.36,24.39,-0.04,
SPCENET,Spacenet Enterprises India Ltd.,,0.05,0.05,0.06,0.99,0.99,0,2.66,0.06,0.06,0.05,0.05,,2.26,2.12,1.9,1.97,5.31,5.7,3.69,0,2.28,,1.99,1.99,0,0,0,0,0,,859.97,6.05,267.35,6.06,0,16.28,6.07,0,
SPECIALITY,Speciality Restaurants Ltd.,,20.35,20.24,27.11,60.13,60.13,2.5,79.85,21.35,14.6,13.25,20.35,,26.74,18.28,16.59,25.48,33.84,17.18,19.99,0,0.92,,2.62,2.54,0,0,0,0,0,,991.17,2.64,9.88,2.66,0,3.53,2.66,0.1,
SPIC,Southern Petrochemical Industries Corporation Ltd.,,13.84,13.84,16.12,43.51,43.51,1.5,138.91,18.39,16.24,14.72,13.97,,13.23,11.69,10.59,10.05,32.1,32.3,13.53,0.45,1.52,,1.04,0.83,5.65,3.57,3.1,96.43,96.9,,"1,533.04",0.54,4.09,0.41,96.42,1.3,0.41,0.25,
SPLIL,SPL Industries Ltd.,,8.22,8.22,9.18,55.87,64.64,0,98.16,13.04,12.08,11.35,8.22,,13.28,12.3,11.56,8.37,14.71,18.62,11.39,0.07,1.36,,3.69,3.53,3.24,0,0,0,0,,143.15,0.5,3.78,0.59,0,1.04,0.59,0.14,
SPMLINFRA,SPML Infra Ltd.,,0.44,0.44,1.02,66.68,66.68,0,176.46,11.15,10.55,0.53,0.42,,6.31,5.97,0.3,0.24,0.63,4.62,0.08,5.14,0.34,,1.03,0.97,0.64,0,0,0,0,,"1,785.20",2.03,32.19,0.1,0,0.25,0.1,0.02,
SPYL,Shekhawati Poly-Yarn Ltd.,,-0.62,-0.62,-0.35,-4.26,-4.26,0,8.75,-0.35,-0.61,-0.61,-0.61,,-3.96,-6.99,-7.01,-7.01,0,14.46,-19.56,-1.37,2.37,,0.11,0.11,12.05,0,0,0,0,,221.61,0.73,-18.53,0.07,0,-0.15,0.07,-0.98,
SREEL,Sreeleathers Ltd.,,11.06,11.06,11.61,160.59,160.59,0,86.22,15.68,15.14,14.94,11.06,,18.19,17.55,17.32,12.83,6.88,9.18,6.5,0,0.53,,1.91,0.72,0,0,0,0,0,,383.81,1.92,10.57,1.96,0,1.05,1.96,0.07,
SRF,SRF Ltd.,,68.26,68.26,83.77,311.11,311.11,7.2,405.93,110.95,95.2,89.29,68.03,,27.33,23.45,21.99,16.75,21.86,23.46,13.01,0.33,0.85,,1.44,0.91,3.06,10.54,8.56,89.46,91.44,,"74,073.54",6.14,22.45,5.93,89.45,7.73,5.93,0.03,
SRHHYPOLTD,Sree Rayalaseema Hi Strength Hyp Ltd.,,89.9,89.9,101.18,437.55,437.55,4,961.34,125.01,113.74,110.97,89.9,,13,11.83,11.54,9.35,20.54,25.64,17.27,0.01,1.96,,4.27,3.32,4.24,3.89,3.46,96.11,96.54,,485.93,0.29,2.26,0.43,96.1,0.94,0.43,0.22,
SSWL,Steel Strips Wheels Ltd.,,12.39,12.39,17.52,72.5,72.5,1,258.16,29.08,23.94,18.61,12.38,,11.26,9.27,7.2,4.79,17.07,23.92,6.96,0.56,1.47,,0.97,0.37,3.89,6.05,4.28,93.95,95.72,,"2,909.08",0.72,6.39,0.57,93.94,2.04,0.57,0.08,
STAR,Strides Pharma Science Ltd.,,0.52,0.52,10.89,382.61,382.61,0,205.36,20.21,9.85,-7.17,0.52,,9.84,4.79,-3.49,0.25,0.13,2.32,0.08,0.39,0.34,,1.18,0.91,2.03,0,0,0,0,,"3,847.64",2.07,21.08,1.39,0,0.75,1.39,0,
STARPAPER,Star Paper Mills Ltd.,,42.08,42.08,45.46,380.83,380.83,5,315.66,64.99,61.61,53.4,42.08,,20.58,19.51,16.91,13.32,11.04,14.26,9.01,0,0.7,,5.25,3.49,2.56,8.31,7.69,91.69,92.31,,85.32,0.17,0.84,0.47,91.68,0.39,0.47,0.29,
STCINDIA,State Trading Corporation of India Ltd.,,8.92,8.92,5.48,-171.44,-24.01,0,0,6.47,6.47,6.19,5.48,,0,0,0,0,-3.19,-26.93,1.4,-0.78,0,,0.94,0.94,0,0,0,0,0,,"1,207.80",0,31.12,0,0,-0.4,0,0.08,
STEL,STEL Holdings Ltd.,,6.65,6.65,6.68,441.22,441.22,0,9.3,8.93,8.9,8.9,6.65,,95.99,95.69,95.69,71.49,1.5,2,1.49,0,0.02,,"152,010.14","152,010.14",0,0,0,0,0,,231.43,13.49,14.05,15.55,0,0.33,15.55,0.05,
STERTOOLS,Sterling Tools Ltd.,,11.5,11.5,20.07,111.44,111.44,2,165.9,25.61,17.04,15.74,11.5,,15.43,10.27,9.49,6.93,10.31,13.17,6.8,0.31,1.03,,1.92,1.05,2.33,8.69,4.98,91.31,95.02,,"1,525.38",2.55,16.53,2.42,91.3,3.61,2.42,0.03,
STLTECH,Sterlite Technologies Ltd.,,1.89,1.88,6.98,47.1,47.1,1,133.9,22.93,17.85,10.85,1.9,,17.12,13.33,8.1,1.41,4.03,26.49,0.99,1.58,0.71,,0.96,0.87,5.86,26.31,7.16,73.69,92.84,,"8,660.00",1.62,9.44,1.1,73.68,3.12,1.1,0.01,
STYRENIX,Styrenix Performance Materials Ltd.,,104.07,104.07,125.69,406.44,406.44,104,"1,348.99",165.08,143.46,140.44,104.07,,12.23,10.63,10.41,7.71,25.6,32.24,14.49,0.01,1.9,,1.92,1.2,5.2,177.76,147.19,-77.76,-47.19,,"1,020.58",0.43,3.52,0.53,-77.76,1.76,0.53,0.15,
SUBROS,Subros Ltd.,,7.37,7.37,24.28,132.92,132.92,1,430.18,28.83,11.92,10.89,7.37,,6.7,2.77,2.53,1.71,5.54,8.42,3.11,0.02,1.84,,1.1,0.56,6.52,9.49,2.88,90.51,97.12,,"1,882.72",0.67,10.01,0.7,90.5,2.26,0.7,0.02,
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,,4.5,4.5,20.59,116.74,116.74,1.5,285.46,26.81,10.76,5.46,4.54,,9.39,3.77,1.91,1.58,3.88,5.48,1.46,0.92,0.9,,1.15,0.68,2.73,110.2,24.28,-10.2,75.72,,"3,437.02",1.74,18.52,1.37,-10.2,3.34,1.37,0.01,
SUNDARAM,Sundaram Multi Pap Ltd.,,0.05,0.05,0.14,2.06,2.06,0,2.41,0.29,0.2,0.06,0.05,,11.86,8.45,2.29,2.26,2.65,7.87,1.87,0.35,0.81,,4.39,2.15,2.39,0,0,0,0,,130.21,1.14,9.6,0.86,0,1.01,0.86,0.03,
SUNDRMBRAK,Sundaram Brake Linings Ltd.,,-12.15,-12.15,3.37,217.07,217.07,0,901.84,11.25,-4.27,-13.72,-12.15,,1.24,-0.47,-1.52,-1.34,-5.59,-1.67,-2.32,0.59,1.76,,1.24,0.72,4.17,0,0,0,0,,161.07,0.45,36.39,0.31,0,1.3,0.31,-0.04,
SUNFLAG,Sunflag Iron and Steel Company Ltd.,,61.83,61.83,66.31,184.69,184.69,0,193.56,25.13,20.65,82.34,61.83,,12.98,10.66,42.53,31.94,33.47,9.22,22.63,0.16,0.87,,1.56,0.59,2.65,0,0,0,0,,"3,092.09",0.89,6.83,0.76,0,0.8,0.76,0.42,
SUNTV,Sun TV Network Ltd.,,42.49,42.49,54.36,231.89,231.89,15,92.91,68.8,56.93,56.79,42.49,,74.05,61.27,61.12,45.73,18.32,24.49,16.82,0,0.39,,7.13,7.13,0,35.3,27.59,64.7,72.41,,"15,886.22",4.34,5.86,4.47,64.69,1.79,4.47,0.1,
SUPERHOUSE,Superhouse Ltd.,,18.32,18.32,31.62,339.83,339.83,1,574.31,47.39,34.09,24.37,18.32,,8.25,5.93,4.24,3.19,5.39,9.63,3.01,0.37,0.96,,1.45,0.86,1.85,5.45,3.16,94.55,96.84,,339.74,0.54,6.5,0.41,94.54,0.69,0.41,0.08,
SUPERSPIN,Super Spinning Mills Ltd.,,-3.56,-3.56,-3.13,16.32,16.32,0,15.56,-1.38,-1.81,-3.29,-3.56,,-8.88,-11.62,-21.15,-22.86,-21.8,-8.51,-12.03,0.46,0.5,,0.5,0.26,5.06,0,0,0,0,,72.64,0.85,-9.56,0.4,0,0.38,0.4,-0.57,
SUPRAJIT,Suprajit Engineering Ltd.,,13.5,13.48,15.61,79.47,79.47,2.3,103.4,21.18,19.07,17.9,13.5,,20.48,18.44,17.3,13.05,16.98,21.96,11.85,0.22,0.97,,2.44,1.93,4.76,15.92,13.77,84.08,86.23,,"4,969.50",3.47,16.95,3.34,84.07,4.34,3.34,0.04,
SUPREMEIND,Supreme Industries Ltd.,,60.18,60.18,80.9,302.62,302.62,26,724.24,100.89,80.16,79.53,60.17,,13.93,11.06,10.98,8.3,19.88,25.45,14.87,0,1.9,,2.53,1.31,4.86,39.87,29.66,60.13,70.34,,"31,165.27",3.39,24.31,3.47,60.12,8.3,3.47,0.02,
SURANASOL,Surana Solar Ltd.,,0.46,0.46,1,11.67,11.67,0,8.57,1.25,0.71,0.67,0.46,,14.54,8.3,7.85,5.41,3.97,6.04,3.84,0,0.66,,19.61,10.87,2.37,0,0,0,0,,83.61,1.98,13.63,1.99,0,1.46,1.99,0.03,
SURYAROSNI,Surya Roshni Ltd.,,62.74,61.62,83.76,345.84,345.84,7,"1,485.96",115.07,93.62,85.29,62.31,,7.74,6.3,5.73,4.19,18.01,25.61,10.97,0.22,2.59,,1.92,0.86,5.47,11.35,8.44,88.65,91.56,,"3,941.81",0.49,6.37,0.44,88.64,1.9,0.44,0.09,
SUTLEJTEX,Sutlej Textiles and Industries Ltd.,,1.39,1.39,9.05,68.6,68.6,1,185.54,17.65,9.99,3.11,1.39,,9.51,5.38,1.67,0.75,2.03,10.73,0.94,0.83,1.25,,1.31,0.5,2.69,132.7,20.44,-32.7,79.56,,"1,590.46",0.52,5.5,0.22,-32.7,0.59,0.22,0.03,
