Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
ASHIANA,Ashiana Housing Ltd.,,2.72,2.72,3.39,74.64,74.64,0.5,34.25,4.2,3.45,3.16,2.64,,12.26,10.07,9.23,7.71,3.54,3.75,1.27,0.24,0.18,,1.7,0.4,0,18.91,14.73,81.09,85.27,,"1,803.66",5.15,41.95,4.95,81.08,2.27,4.95,0.02,
ASHIMASYN,Ashima Ltd.,,-0.35,-0.35,-0.13,11.49,11.49,0,10.8,-0.07,-0.28,-0.4,-0.35,,-0.6,-2.6,-3.71,-3.21,-3.01,-2.13,-2.07,0.11,0.65,,2.38,1.19,1.31,0,0,0,0,,245.66,1.19,-194.97,1.16,0,1.09,1.16,-0.03,
ASHOKA,Ashoka Buildcon Ltd.,,23.91,23.91,26.56,120.04,120.04,0,227,22.78,20.13,27.55,23.91,,10.03,8.86,12.13,10.53,19.92,14.14,9.32,0.3,1.01,,1.61,1.51,0,0,0,0,0,,"2,887.08",0.45,4.52,0.33,0,0.62,0.33,0.32,
ASIANHOTNR,Asian Hotels (North) Ltd.,,-43.6,-43.6,-31.75,-124.24,83.48,0,131.48,28.82,16.97,-43.6,-43.6,,21.91,12.9,-33.16,-33.16,0,3.43,-5.39,-4.48,0.16,,0.1,0.09,0,0,0,0,0,,"1,282.91",5.02,22.88,0.86,0,-0.91,0.86,-0.38,
ASIANPAINT,Asian Paints Ltd.,,42.76,42.76,50.63,162.48,162.48,25.65,313.58,66.08,58.2,57.23,42.75,,21.07,18.56,18.25,13.63,26.3,33.43,18.19,0,1.42,,2.38,1.47,2.79,46.55,39.3,53.45,60.7,,"264,583.95",8.8,41.74,8.81,53.44,17,8.81,0.02,
ASPINWALL,Aspinwall and Company Ltd.,,30.61,30.61,36.33,216.89,216.89,6,369.37,33.91,28.2,38.36,30.61,,9.18,7.63,10.38,8.28,14.11,12.56,10.12,0.08,1.22,,2.36,1.26,0.94,19.59,16.5,80.41,83.5,,125.67,0.44,4.74,0.51,80.4,0.87,0.51,0.16,
ASTRAL,Astral Ltd.,,16.67,16.67,21.76,99.56,99.6,3.5,171.43,28.81,23.7,22.34,16.65,,16.8,13.82,13.03,9.71,16.72,23.36,12.48,0,1.45,,1.84,0.94,4.55,13.46,10.3,86.54,89.7,,"35,521.46",7.7,45.83,7.8,86.53,13.43,7.8,0.01,
ASTRAZEN,AstraZeneca Pharma Ltd.,,39.7,39.7,46.22,235.48,235.48,16,401.19,76.49,69.98,53.64,39.72,,19.06,17.44,13.37,9.89,16.86,29.11,10.08,0,1.09,,2.18,1.68,0.51,20.14,17.3,79.86,82.7,,"7,617.77",7.6,39.84,8.09,79.85,13.79,8.09,0.01,
ASTRON,Astron Paper & Board Mill Ltd.,,-4.45,-4.45,-3.18,34.6,34.6,0,84.89,-2.85,-4.13,-6.24,-4.45,,-3.35,-4.86,-7.35,-5.24,-12.86,-11.71,-6.8,0.47,1.24,,1.09,0.78,6.61,0,0,0,0,,161.31,0.41,-12.17,0.24,0,0.59,0.24,-0.22,
ATFL,Agro Tech Foods Ltd.,,6.25,6.24,14.86,199.33,199.33,3,348.18,18.38,9.66,8.36,6.15,,5.27,2.77,2.4,1.76,3.08,4.6,2.32,0.11,1.34,,1.99,0.77,3.46,47.69,19.73,52.31,80.27,,"2,190.84",2.58,48.92,2.53,52.3,4.41,2.53,0.01,
