Company Name,Symbol,Report URL 2022-2023,Report URL 2021-2022,Report URL 2020-2021,Report URL 2019-2020,Report URL 2018-2019
AU Small FiNaNce Bank Limited,AUBANK,https://nsearchives.nseindia.com/annual_reports/AR_22428_AUBANK_2022_2023_18072023185848_07182023190006.zip,https://nsearchives.nseindia.com/annual_reports/AR_20544_AUBANK_2021_2022_31072022161621_07312022170003.zip,https://nsearchives.nseindia.com/annual_reports/AR_18516_AUBANK_2020_2021_23072021231329_24072021070004.zip,https://nsearchives.nseindia.com/annual_reports/AR_16322_AUBANK_2019_2020_26062020200803_26062020210003.zip,https://nsearchives.nseindia.com/annual_reports/AR_14581_AUBANK_2018_2019_24062019230036_25062019070009.zip
Aurionpro Solutions Limited,AURIONPRO,https://nsearchives.nseindia.com/annual_reports/AR_23730_AURIONPRO_2022_2023_07092023130707_09072023140000.zip,https://nsearchives.nseindia.com/annual_reports/AR_21050_AURIONPRO_2021_2022_01092022224458_09022022070007.zip,https://nsearchives.nseindia.com/annual_reports/AR_19043_AURIONPRO_2020_2021_30082021202054_08302021210007.zip,https://nsearchives.nseindia.com/annual_reports/AR_16913_AURIONPRO_2019_2020_27082020133631_27082020140002.zip,https://nsearchives.nseindia.com/annual_reports/AR_15429_AURIONPRO_2018_2019_28082019184354_28082019190007.zip
Aurum PropTech Limited,AURUM,https://nsearchives.nseindia.com/annual_reports/AR_23719_AURUM_2022_2023_06092023233843_09072023070010.zip,https://nsearchives.nseindia.com/annual_reports/AR_21686_AURUM_2021_2022_07092022224638_09082022070006.zip,https://nsearchives.nseindia.com/annual_reports/AR_19889_AURUM_2020_2021_17122021141720_12172021150006.zip,https://nsearchives.nseindia.com/annual_reports/AR_17115_MAJESCO_2019_2020_01092020225220_01092020230002.zip,https://nsearchives.nseindia.com/annual_reports/AR_15022_MAJESCO_2018_2019_25072019160739_25072019170004.zip
Ausom Enterprise Limited,AUSOMENT,https://nsearchives.nseindia.com/annual_reports/AR_22916_AUSOMENT_2022_2023_24082023162055_08242023170016.zip,https://nsearchives.nseindia.com/annual_reports/AR_21031_AUSOMENT_2021_2022_01092022180921_09012022190006.zip,https://nsearchives.nseindia.com/annual_reports/AR_19186_AUSOMENT_2020_2021_02092021162234_09022021170009.zip,https://nsearchives.nseindia.com/annual_reports/AR_17511_AUSOMENT_2019_2020_07092020155347_07092020160007.zip,https://nsearchives.nseindia.com/annual_reports/AR_15673_AUSOMENT_2018_2019_03092019172027_03092019180012.zip
Automotive Axles Limited,AUTOAXLES,https://nsearchives.nseindia.com/annual_reports/AR_22263_AUTOAXLES_2022_2023_10072023162935_07102023170000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20369_AUTOAXLES_2021_2022_14072022165039_07142022170009.zip,https://nsearchives.nseindia.com/annual_reports/AR_18439_AUTOAXLES_2020_2021_17072021143740_17072021150003.zip,https://nsearchives.nseindia.com/annual_reports/AR_16555_AUTOAXLES_2019_2020_23072020182403_23072020190001.zip,https://nsearchives.nseindia.com/annual_reports/AR_14953_AUTOAXLES_2018_2019_18072019171209_18072019180003.zip
Avadh Sugar & Energy Limited,AVADHSUGAR,https://nsearchives.nseindia.com/annual_reports/AR_22180_AVADHSUGAR_2022_2023_04072023204206_07042023210002.zip,https://nsearchives.nseindia.com/annual_reports/AR_20127_AVADHSUGAR_2021_2022_28062022181009_06282022190007.zip,https://nsearchives.nseindia.com/annual_reports/AR_19902_AVADHSUGAR_2020_2021_20122021141740_12202021150005.zip,https://nsearchives.nseindia.com/annual_reports/AR_16951_AVADHSUGAR_2019_2020_28082020182253_28082020190003.zip,https://nsearchives.nseindia.com/annual_reports/AR_15182_AVADHSUGAR_2018_2019_09082019195140_09082019200004.zip
Avanti Feeds Limited,AVANTIFEED,https://nsearchives.nseindia.com/annual_reports/AR_22411_AVANTIFEED_2022_2023_17072023200909_07172023210005.zip,https://nsearchives.nseindia.com/annual_reports/AR_20437_AVANTIFEED_2021_2022_19072022182205_07192022190008.zip,https://nsearchives.nseindia.com/annual_reports/AR_18494_AVANTIFEED_2020_2021_21072021223149_21072021230003.zip,https://nsearchives.nseindia.com/annual_reports/AR_16651_AVANTIFEED_2019_2020_04082020180542_04082020190002.zip,https://nsearchives.nseindia.com/annual_reports/AR_14878_AVANTIFEED_2018_2019_13072019181301_13072019190003.zip
AVT Natural Products Limited,AVTNPL,https://nsearchives.nseindia.com/annual_reports/AR_22587_AVTNPL_2022_2023_01082023115521_08012023120000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20557_AVTNPL_2021_2022_01082022203157_08012022210008.zip,https://nsearchives.nseindia.com/annual_reports/AR_18611_AVTNPL_2020_2021_04082021165630_04082021170003.zip,https://nsearchives.nseindia.com/annual_reports/AR_17087_AVTNPL_2019_2020_01092020172227_01092020180011.zip,https://nsearchives.nseindia.com/annual_reports/AR_14960_AVTNPL_2018_2019_18072019200920_18072019210003.zip
Axis Bank Limited,AXISBANK,https://nsearchives.nseindia.com/annual_reports/AR_22070_AXISBANK_2022_2023_26062023162128_06262023170005.zip,https://nsearchives.nseindia.com/annual_reports/AR_21744_AXISBANK_2021_2022_08092022201121_09082022210008.zip,https://nsearchives.nseindia.com/annual_reports/AR_18283_AXISBANK_2020_2021_05072021145646_05072021160011.zip,https://nsearchives.nseindia.com/annual_reports/AR_16367_AXISBANK_2019_2020_03072020132127.zip,https://nsearchives.nseindia.com/annual_reports/AR_14545_AXISBANK_2018_2019_17062019175051.zip
AXISCADES Technologies Limited,AXISCADES,https://nsearchives.nseindia.com/annual_reports/AR_23621_AXISCADES_2022_2023_06092023150908_09062023160018.zip,https://nsearchives.nseindia.com/annual_reports/AR_21097_AXISCADES_2021_2022_02092022171013_09022022180015.zip,https://nsearchives.nseindia.com/annual_reports/AR_19419_AXISCADES_2020_2021_05092021093100_09052021100003.zip,https://nsearchives.nseindia.com/annual_reports/AR_17362_AXISCADES_2019_2020_05092020140426_05092020150006.zip,https://nsearchives.nseindia.com/annual_reports/AR_15761_AXISCADES_2018_2019_04092019185631_04092019190026.zip
