Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
PENIND,Pennar Industries Ltd.,,"2,202.35",0,"2,202.35","2,288.30",37.27,"2,325.57",,"1,543.54",13.76,0,-81.1,153.74,89.43,55.98,490.64,"2,265.99",59.58,0,59.58,,16.89,0,-1.51,0,15.38,44.2,44.2,44.2,,,3.22,3.22,,0,0,,0,0.0,,0,0.0,0
PERSISTENT,Persistent Systems Ltd.,,"5,117.55",0,"5,117.55","5,117.55",73.87,"5,191.42",,0,0,251.78,0,"3,141.73",13.1,134.49,570.4,"4,111.50","1,079.93",-29.66,"1,050.27",,270.65,0,-11.51,0,259.14,791.13,791.13,791.13,,,103.52,103.52,,0,0,,0,0.0,,298.06,0.0,500
PETRONET,Petronet LNG Ltd.,,"58,971.35",0,"58,971.35","59,899.35",573.62,"60,472.97",,"53,952.35",0,0,0,167.52,330.51,764.34,923.71,"56,138.43","4,334.54",0,"4,334.54",,"1,222.00",0,-127.4,0,"1,094.60","3,239.94","3,239.94","3,239.94",,,21.6,21.6,,0,0,,0,0.0,,"1,725.00",0.0,100
PFC,Power Finance Corporation Ltd.,,"39,651.75",0,"39,651.75","39,651.75",13.88,"39,665.63",,0,0,"1,916.73",0,219.01,"23,282.57",19.06,353.85,"25,495.01","14,170.62",0,"14,170.62",,"2,381.18",0,234.91,-50.94,"2,565.15","11,605.47","11,605.47","11,605.47",,,43.96,43.96,,0,0,,0,0.0,,"2,640.08",0.0,133
PFIZER,Pfizer Ltd.,,"2,422.32",0,"2,422.32","2,424.76",101.05,"2,525.81",,345.27,471.92,0,56.48,331.68,13.39,105.51,410.55,"1,734.80",791.01,33,824.01,,251.82,0,-51.91,0.17,200.08,623.93,623.93,623.93,,,128.5,136.38,,0,0,,0,0.0,,297.35,0.0,700
PFOCUS,Prime Focus Ltd.,,40.74,0,40.74,40.74,40.63,81.37,,0,0,0,0,4.2,23.95,32.64,34.5,95.29,-13.92,0,-13.92,,0,0,10.55,0,10.55,-24.47,-24.47,-24.47,,,-0.82,-0.82,,0,0,,0,0.0,,0,0.0,0
PGEL,PG Electroplast Ltd.,,"1,313.33",0,"1,313.33","1,331.15",4.73,"1,335.87",,928.7,155.72,0,13.76,79.33,20.87,20.55,60.06,"1,278.99",56.88,0,56.88,,4.83,0,7.85,0,12.68,44.2,44.2,44.2,,,20.42,19.27,,0,0,,0,0.0,,0,0.0,0
PGHH,Procter and Gamble Hygiene and Health Care Ltd.,,"3,905.21",0,"3,905.21","3,917.90",40.58,"3,958.48",,847.55,824.01,0,-8.53,205.79,11.38,58.36,"1,180.45","3,119.01",839.47,0,839.47,,230.52,0,-12.08,-57.11,161.33,678.14,678.14,678.14,,,208.91,208.91,,0,0,,0,0.0,,470.68,0.0,"1,850.00"
PGIL,Pearl Global Industries Ltd.,,"1,015.83",0,"1,015.83","1,103.77",30.36,"1,134.13",,526.66,0,178.93,15.25,198.34,30.42,18.83,115,"1,083.42",50.7,10.97,61.67,,9.52,0,-1.68,0.02,7.85,53.82,53.82,53.82,,,24.84,24.77,,0,0,,0,0.0,,16.25,0.0,75
PIIND,PI Industries Ltd.,,"6,236.60",0,"6,236.60","6,270.40",158.9,"6,429.30",,"3,355.00",156.6,0,-94.1,489.7,35.5,221.7,843.2,"5,007.60","1,421.70",0,"1,421.70",,250.9,0,-46.4,5.8,210.3,"1,211.40","1,211.40","1,211.40",,,79.84,79.84,,0,0,,0,0.0,,113.7,0.0,"1,000.00"
PILANIINVS,Pilani Investment and Industries Corporation Ltd.,,292.06,0,292.06,292.06,0.97,293.02,,0,0,0,0,1.94,65,0.27,4.74,71.95,221.08,0,221.08,,51.97,0,-0.02,-0.66,51.3,169.78,169.78,169.78,,,153.34,153.34,,0,0,,0,0.0,,16.61,0.0,150
PILITA,Pil Italica Lifestyle  Ltd.,,85.31,0,85.31,85.31,0.04,85.35,,51.88,2.79,0,-2.07,8.32,1,0.79,18.57,81.29,4.07,0,4.07,,0,0,1.02,0,1.02,3.04,3.04,3.04,,,0.13,0.13,,0,0,,0,0.0,,0,0.0,0
PIONEEREMB,Pioneer Embroideries Ltd.,,294.89,0,294.89,296.64,3.12,299.76,,180.41,1.95,0,-0.98,34.39,3.64,8.46,68.68,296.55,3.21,9.12,12.33,,0.24,0,3.37,0.02,3.63,8.71,8.71,8.71,,,3.27,3.27,,0,0,,0,0.0,,0.8,0.0,0
PITTIENG,Pitti Engineering Ltd.,,"1,225.90",131.14,"1,094.76","1,100.17",17.81,"1,117.99",,781.43,0,0,0.88,86.63,44.66,44.65,79.84,"1,038.09",79.9,0,79.9,,21.3,0,-0.22,-0.01,21.07,58.83,58.83,58.83,,,18.36,18.36,,57.49,723.95,,0,0.0,,7.53,0.0,54
