Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
SARDAEN,Sarda Energy and Minerals Ltd.,,"3,009.29",0,"3,009.29","3,020.45",87.24,"3,107.69",,"1,719.83",89.88,0,-20.91,94.69,15.95,65.89,295.59,"2,260.92",846.77,0,846.77,,216.36,0,-8,0,208.36,638.41,638.41,638.41,,,180.18,180.18,,0,0,,0,0.0,,27.04,0.0,150
SAREGAMA,Saregama India Ltd.,,664.81,0,664.81,695.18,53.31,748.48,,0,0,253.65,-63.26,74.03,5.71,20.82,214.35,505.31,243.18,0,243.18,,61.86,0,0.84,0,62.7,180.48,180.48,180.48,,,9.37,9.37,,0,0,,0,0.0,,57.84,0.0,300
SARLAPOLY,Sarla Performance Fibers Ltd.,,382.96,0,382.96,386.55,9.23,395.78,,195.58,0,0,6.35,15.72,4.83,21.07,112.56,356.11,39.66,0,39.66,,11.19,0,-1.29,0.94,10.85,28.81,28.81,28.81,,,3.45,3.45,,0,0,,0,0.0,,16.7,0.0,0
SATIA,Satia Industries Ltd.,,"1,883.74",0,"1,883.74","1,883.74",14.06,"1,897.80",,871.88,24,0,-5.18,91.64,35.18,207.13,488.71,"1,714.28",183.52,0,183.52,,31.45,0,-40.11,0,-8.66,192.17,192.17,192.17,,,19.22,19.22,,0,0,,0,0.0,,4,0.0,40
SBILIFE,SBI Life Insurance Company Ltd.,,"66,581.00",0,"66,581.00","80,635.64","1,758.09","82,393.73",,0,0,0,0,"3,409.47",10.08,67.79,"76,841.58","80,338.78","2,054.95",0,"2,054.95",,185.28,0,0,0,185.28,"1,869.67","1,720.57","1,720.57",,,17.19,17.18,,0,0,,0,0.0,,250.22,0.0,25
SBIN,State Bank of India,,"221,400.65","95,928.27","3,491.01","11,283.14","332,103.06","36,615.60","368,718.66",,"187,262.56","57,291.84","3,297.27","37,154.02","97,743.14","21,223.93","-4,250.74","16,507.32","33,480.51","318,486.20","50,232.45","50,232.45","5,881.40","56,113.86",,"15,069.74",232.81,"2,052.35",0,"10,084.81",0.0,"24,098.72","56,113.86",,,56.29,56.29,,"1,130.00",,,,,
SCI,Shipping Corporation of India Ltd.,,"5,770.36",0,"5,770.36","5,793.95",112.7,"5,906.65",,0,0,"3,478.84",0,477.81,184.19,753.16,279.67,"5,173.67",732.98,0,732.98,,25.81,0,0.14,-93.09,-67.14,800.12,800.12,800.12,,,17.18,17.18,,0,0,,0,0.0,,15.37,0.0,4
SEAMECLTD,Seamec Ltd.,,396.11,0,396.11,399.02,15.47,414.49,,0,0,193.9,0,65.92,3.29,92.67,23.51,379.29,35.2,0,35.2,,0,0,-5.95,-0.13,-6.08,41.28,41.28,41.28,,,16.23,16.23,,0,0,,0,0.0,,0,0.0,0
SECURKLOUD,Securekloud Technologies Ltd.,,59.31,0,59.31,59.31,1.77,61.08,,0,0,0,0,44.08,5.27,2.76,11.69,63.8,-2.72,0,-2.72,,0,0,0.01,0,0.01,-2.73,-2.73,-2.73,,,-0.82,-0.82,,0,0,,0,0.0,,0,0.0,0
SELAN,Selan Exploration Technology Ltd.,,117.94,0,117.94,117.94,11.57,129.52,,0,0,9.33,-0.53,6.75,0.43,22.04,88.15,89.27,40.24,0,40.24,,4.43,0,4.96,0,9.39,30.85,30.85,30.85,,,20.29,20.29,,0,0,,0,0.0,,0,0.0,0
SEPC,SEPC Ltd.,,378.85,0,378.85,378.85,12.09,390.94,,0,0,318.52,0,33.35,60.39,6.15,91.78,510.19,-119.25,138.15,18.9,,0,0,30.22,0,30.22,-11.32,-11.32,-11.32,,,-0.09,-0.09,,0,0,,0,0.0,,0,0.0,0
SESHAPAPER,Seshasayee Paper and Boards Ltd.,,"2,051.52",0,"2,051.52","2,082.53",30.52,"2,113.05",,955.22,24.3,0,13.75,97.9,3.19,45.25,457.3,"1,596.91",516.14,0,516.14,,129.94,0,-0.34,0,129.6,386.54,386.54,386.54,,,64.18,64.18,,0,0,,0,0.0,,15.77,0.0,300
SETCO,Setco Automotive Ltd.,,1.14,0,1.14,1.14,1.74,2.88,,0.01,0,0,0,1.1,0.05,0,0.26,1.43,1.46,0,1.46,,0,-10.27,0,0,10.27,-8.82,-8.82,-8.82,,,-0.66,-0.66,,0,0,,0,0.0,,0,0.0,0
SEYAIND,Seya Industries Ltd.,,37.11,0,37.11,37.11,9.04,46.15,,21.74,0,0,12.58,5.78,0.02,17.95,14.22,72.28,-26.13,0,-26.13,,0,0,-1.45,0,-1.45,-24.68,-24.68,-24.68,,,-9.29,-9.29,,0,20.07,,0,0.0,,0,0.0,0
SFL,Sheela Foam Ltd.,,"2,015.40",0,"2,015.40","2,019.82",78.61,"2,098.43",,"1,133.11",148.88,36.26,-3.6,145.19,6.37,33.76,337.78,"1,837.76",260.67,0,260.67,,68.16,0,-1.64,-0.7,65.81,194.86,194.86,194.86,,,19.97,19.97,,0,0,,0,0.0,,0,0.0,0
SGL,STL Global Ltd.,,65.31,0,65.31,100.63,0.22,100.85,,66.08,0,0,1.06,6.72,0.66,1.58,24.44,100.54,0.32,0,0.32,,0.05,0,0.05,0,0.1,0.22,0.22,0.22,,,0.08,0.08,,0,0,,0,0.0,,0,0.0,0
SHAH,SHAH METACORP Ltd.,,39.87,0,39.87,39.88,7,46.88,,38.14,0,0,0.18,1.04,0.33,2.92,4.57,47.17,-0.29,0,-0.29,,0,0,-1.94,0,-1.94,1.65,1.65,1.65,,,0.16,0.16,,0,38.14,,0,0.0,,0,0.0,0
SHAHALLOYS,Shah Alloys Ltd.,,626.24,0,626.24,626.26,12.85,639.1,,414.79,0,0,25.73,24.2,2.59,8.95,157.5,633.76,5.35,0,5.35,,0,0,-1.34,0,-1.34,6.69,6.69,6.69,,,3.38,3.38,,0,0,,0,0.0,,0,0.0,0
SHALPAINTS,Shalimar Paints Ltd.,,483.69,0,483.69,485.55,7.21,492.76,,345.56,24.48,0,-13.44,53.43,15.9,12.69,90.24,528.86,-36.11,0,-36.11,,0,0,0,0,0,-36.11,-36.11,-36.11,,,-5,-5,,0,0,,0,0.0,,0,0.0,0
SHANTIGEAR,Shanthi Gears Ltd.,,435.94,0,435.94,445.65,11.24,456.89,,214.18,0,0,0.12,71.15,0,10.88,70.37,366.7,90.19,0,90.19,,25.4,0,-2.26,0,23.14,67.05,67.05,67.05,,,8.74,8.74,,0,0,,0,0.0,,23.01,0.0,500
SHARDACROP,Sharda Cropchem Ltd.,,"3,307.83",0,"3,307.83","3,312.73",173.57,"3,486.30",,"1,551.69","1,089.13",0,-303.33,37.13,3.87,248.06,448.44,"3,075.00",411.3,0,411.3,,69.73,0,14.55,2.28,86.56,324.74,324.74,324.74,,,35.99,35.99,,0,0,,0,0.0,,54.13,0.0,60
SHARDAMOTR,Sharda Motor Industries Ltd.,,"2,672.86",0,"2,672.86","2,699.94",41.74,"2,741.67",,"2,099.41",64.85,0,-0.42,98.45,1.91,46.27,155.88,"2,466.36",275.31,0,275.31,,72.05,0,-1.85,-0.31,69.89,205.43,205.43,205.43,,,69.09,69.09,,0,0,,0,0.0,,24.23,0.0,864
SHEMAROO,Shemaroo Entertainment Ltd.,,535.05,0,535.05,535.05,3.19,538.24,,0,0,382.72,-15.88,82.76,29.69,5.19,41.2,525.68,12.55,0,12.55,,7.09,0,-2.83,1.01,5.27,7.28,7.28,7.28,,,2.68,2.68,,0,0,,0,0.0,,0,0.0,0
SHILPAMED,Shilpa Medicare Ltd.,,241.04,0,241.04,247.7,68.64,316.35,,62.61,15.51,0,4.08,110.45,20.83,46.55,99.05,359.08,-42.73,-15.55,-58.28,,-8.37,0,-0.43,0,-8.79,-49.48,-49.48,57.19,,,6.59,6.59,,0,0,,0,0.0,,0,0.0,0
SHIVAMAUTO,Shivam Autotech Ltd.,,439.94,0,439.94,470.36,2.87,473.23,,219.25,0,18.99,3.38,56.36,49.9,35.23,122.94,506.06,-32.83,0,-32.83,,0,0,0,1.88,1.88,-34.72,-34.72,-34.72,,,-2.84,-2.84,,0,0,,0,0.0,,0,0.0,0
SHIVAMILLS,Shiva Mills Ltd.,,158.46,0.00,158.46,159.06,1.32,160.38,,130.32,0.00,0.00,0.78,13.72,0.95,6.05,16.03,167.85,-7.47,0.00,-7.47,,0.00,0.00,-0.47,0.16,-0.31,-7.16,-7.16,-7.16,,,-8.28,-8.28,,0.0,0.00,,0.0,0.0,,1.04,0.0,0.00
SHIVATEX,Shiva Texyarn Ltd.,,410.09,0,410.09,410.87,16.01,426.88,,274.36,3.93,0,11.05,42.49,13.81,14.11,70.66,430.43,-3.54,0,-3.54,,0,0,2.77,0.32,3.1,-6.64,-6.64,-6.64,,,-5.12,-5.12,,2.2,272.16,,1.24,23.95,,0,0.0,0
SHK,S H Kelkar & Company Ltd.,,868.3,0,868.3,879.67,13.77,893.44,,584.83,0,0,-17.98,84.8,4.95,27.32,102.74,786.66,106.78,-30.19,76.59,,26.34,0,-1.55,-0.37,24.42,52.17,52.17,52.17,,,3.86,3.86,,0,0,,0,0.0,,10.38,0.0,20
SHOPERSTOP,Shoppers Stop Ltd.,,"3,705.06",0,"3,705.06","3,998.36",56.07,"4,054.43",,0,"2,806.20",0,-478.79,349.26,209.15,381.6,622.9,"3,890.32",164.11,-2,162.11,,0,0,42.86,0,42.86,119.25,119.25,119.25,,,10.88,10.8,,0,0,,0,0.0,,0,0.0,0
SHREECEM,Shree Cements Ltd.,,"16,445.78",0,"16,445.78","16,837.49",431.51,"17,269.00",,"6,844.82",38.47,0,-78.52,865.78,268.93,"1,546.20","6,274.96","15,710.36","1,558.64",0,"1,558.64",,247.99,0,136.8,-154.28,230.51,"1,328.13","1,328.13","1,328.13",,,368.1,368.1,,0,0,,0,0.0,,324.72,0.0,"1,000.00"
SHREERAMA,Shree Rama Multi Tech Ltd.,,194.72,0,194.72,196.26,0.12,196.39,,124.11,0,0,3.62,16.62,1.44,6.11,37.4,189.29,7.09,0,7.09,,0,0,0,2.05,2.05,5.04,5.04,5.04,,,0.79,0.79,,0,0,,0,0.0,,0,0.0,0
SHREYANIND,Shreyans Industries Ltd.,,865.47,0.00,865.47,865.53,5.51,871.04,,429.82,0.08,0.00,-0.76,71.97,5.38,13.16,257.68,777.32,93.73,0.00,93.73,,16.85,0.00,3.42,0.0,20.27,73.46,73.46,73.46,,,53.14,53.14,,0.0,0.00,,0.0,0.0,,2.76,0.0,50.00
SHREYAS,Shreyas Shipping Ltd.,,482.62,0,482.62,483.78,19.19,502.97,,65.18,0,64.72,0,95.01,18.42,47.5,12.85,303.68,199.29,0,199.29,,1.98,0,0.5,0,2.48,196.81,196.81,196.81,,,89.63,89.63,,0,0,,0,0.0,,5.49,0.0,15
SHRIPISTON,Shriram Pistons & Rings Ltd.,,"2,559.92",0,"2,559.92","2,605.03",46.23,"2,651.26",,988.83,97.34,0,8.17,413.7,19.45,93.34,633.51,"2,254.34",396.92,0,396.92,,104.59,0,-3.23,0,101.36,295.56,295.56,295.56,,,134.19,134.19,,0,0,,0,0.0,,30.84,0.0,150
SHRIRAMFIN,Shriram Finance Ltd.,,"29,421.19",0,"29,421.19","29,772.16",30.73,"29,802.89",,0,0,303.61,0,"2,506.11","12,545.76",524.18,"1,579.17","21,618.00","8,184.89",0,"8,184.89",,"2,875.01",0,-680.96,11.5,"2,205.55","5,979.34","5,979.34","5,979.34",,,159.69,158.99,,0,0,,0,0.0,,561.64,0.0,350
SHYAMCENT,Shyam Century Ferrous Ltd.,,180.99,0,180.99,180.99,7.2,188.19,,58.83,0,0,-3.32,5.21,0.35,3.35,87.11,151.53,36.66,0,36.66,,10.13,0,-0.11,0.01,10.03,26.64,26.64,26.64,,,1.26,1.26,,0,0,,0,0.0,,6.67,0.0,30
SHYAMTEL,Shyam Telecom Ltd.,,0,0,0,0,0.72,0.72,,0,0,0,0,1.15,0,0.17,4.09,5.42,-4.7,0,-4.7,,0.16,0,0.01,0,0.17,-4.87,-4.87,-4.87,,,-4.31,-4.31,,0,0,,0,0.0,,0,0.0,0
SIEMENS,Siemens Ltd.,,"17,700.70",0,"17,700.70","17,965.10",548.7,"18,513.80",,"3,451.70","5,567.30","3,627.10",-296.4,"1,853.10",20.3,223.5,"1,522.10","15,968.70","2,545.10",0,"2,545.10",,668.3,0,-34.5,0,633.8,"1,911.30","1,911.30","1,911.30",,,53.67,53.67,,0,0,,0,0.0,,356.1,0.0,500
SIGIND,Signet Industries Ltd.,,"1,017.69",0.00,"1,017.69","1,017.69",2.80,"1,020.49",,454.77,390.86,0.00,-3.91,27.34,44.07,9.07,79.15,"1,001.36",19.13,0.00,19.13,,5.94,0.00,-0.59,0.73,6.08,13.05,13.05,13.05,,,4.31,4.31,,0.0,0.00,,0.0,0.0,,1.47,0.0,5.00
SIMPLEXINF,Simplex Infrastructures Ltd.,,"1,520.63",0,"1,520.63","1,546.54",41.02,"1,587.56",,420.68,6.33,654.17,5.3,144.95,837.35,85,294,"2,447.78",-860.22,0,-860.22,,0.97,0,-301.38,-53.57,-353.98,-506.24,-506.24,-506.24,,,-88.59,-88.59,,0,0,,0,0.0,,0,0.0,0
SIRCA,Sirca Paints India Ltd.,,267.75,0.0,267.75,267.75,4.84,272.59,,77.32,97.64,0.0,-27.53,24.41,0.04,4.41,34.2,210.48,62.11,0.0,62.11,,15.99,0.0,0.01,0.0,16.0,46.11,46.11,46.11,,,8.41,8.41,,0.0,0.00,,0.0,0.0,,5.48,0.0,15.0
SIYSIL,Siyaram Silk Mills Ltd.,,"2,224.79",0,"2,224.79","2,229.32",40.19,"2,269.51",,931.91,186.48,0,-37.93,179.07,19.74,57.76,600.89,"1,937.93",331.58,0,331.58,,84.1,0,-0.1,-4.23,79.77,251.82,251.82,251.82,,,53.73,53.73,,0,0,,0,0.0,,47.81,0.0,550
SJVN,SJVN Ltd.,,"2,817.73",0,"2,817.73","2,935.41",363.43,"3,298.84",,0,0,0,0,294.85,432.23,390.59,419.24,"1,537.08","1,761.76",-39.93,"1,721.83",,297,0,45.79,15.59,358.38,"1,363.45","1,363.45","1,363.45",,,3.47,3.47,,0,0,,0.18,16.29,,668.07,0.0,18
SKFINDIA,SKF India Ltd.,,"4,233.92",0,"4,233.92","4,304.92",51.87,"4,356.79",,"1,041.69","1,553.65",0,-29.52,299.63,1.51,66.84,690.06,"3,623.86",732.93,0,732.93,,207.57,0,0.57,0,208.14,524.79,524.79,524.79,,,106.2,106.2,,0,0,,0,0.0,,71.69,0.0,400
SKIPPER,Skipper Ltd.,,"1,962.05",0,"1,962.05","1,980.30",5.32,"1,985.62",,"1,355.27",0,0,-88.44,97.49,104.01,46.78,423.44,"1,938.54",47.08,0,47.08,,8.27,0.16,6.25,0,14.37,32.71,32.71,32.71,,,3.19,3.19,,0,0,,0,0.0,,1.03,0.0,10
SMSPHARMA,SMS Pharmaceuticals Ltd.,,519.75,0,519.75,522.05,4.89,526.94,,299.53,0,57.31,36.08,55.04,21.92,32.13,19.37,521.39,5.55,0,5.55,,0.06,0,1.47,-0.06,1.47,4.08,4.08,4.08,,,0.48,0.48,,0,0,,0,0.0,,2.54,0.0,30
SNOWMAN,Snowman Logistics Ltd.,,417.65,0,417.65,417.65,7.51,425.16,,0,86.33,170.01,-7.58,33.96,22.22,52.35,46.37,403.65,21.5,0,21.5,,3.67,0,4.33,0.11,8.11,13.4,13.4,13.4,,,0.8,0.8,,0,0,,0,0.0,,12.53,0.0,8
SOMANYCERA,Somany Ceramics Ltd.,,"2,426.46",0,"2,426.46","2,442.70",27.68,"2,470.38",,304.22,"1,306.79",0,-68.94,217.13,7.87,43.57,536.85,"2,347.50",122.88,-0.97,121.92,,31.4,0,-0.4,0.83,31.83,90.08,90.08,90.08,,,21.21,21.21,,0,0,,0,0.0,,12.74,0.0,150
SUMIT,Soma Textiles and Industries Ltd.,,4.79,0,4.79,5.2,11.42,16.62,,0,4.78,0,0,1.78,8.08,0.52,3.61,18.78,-2.16,169.42,167.26,,0,0,1.62,0.18,1.8,165.46,165.46,165.46,,,50.09,50.09,,0,0,,0,0.0,,0,0.0,0
SOMICONVEY,Somi Conveyor Beltings Ltd.,,93.7,0,93.7,93.73,0.2,93.93,,65.68,0,0,6.37,3.07,2.71,1.01,10.81,89.65,4.27,0,4.27,,0.68,0,0.13,0,0.81,3.47,3.47,3.47,,,2.94,2.94,,0,0,,0,0.0,,0,0.0,0
SONATSOFTW,Sonata Software Ltd.,,920.85,0,920.85,920.86,159.68,"1,080.54",,0,102.19,0,0.17,543.5,6.96,18.51,145.04,816.37,264.17,0,264.17,,39.58,0,4.22,0,43.8,220.37,220.37,220.37,,,15.89,15.89,,0,0,,0,0.0,,232.12,0.0,"1,575.00"
SOUTHBANK,South Indian Bank Ltd.,,"5,712.15","1,285.73",132.1,103.2,"7,233.18",812.63,"8,045.81",,"4,221.10","1,300.36",87.48,929.54,"2,317.38",258.38,213,260.86,732.24,"7,270.72",775.09,775.09,-37.87,737.22,,193.78,4.57,130,0,0,0.0,224.49,737.22,,,3.7,3.7,,30,,,,,
SOUTHWEST,South West Pinnacle Exploration Ltd.,,123.96,0,123.96,123.96,4.13,128.09,,28.29,26.26,26.95,0,18.94,5.9,7.16,3.53,117.04,11.05,0,11.05,,2.74,0,0.01,-0.02,2.73,8.32,8.32,8.32,,,2.98,2.98,,0,0,,0,0.0,,0.35,0.0,5
SPAL,S P Apparels Ltd.,,889.05,0,889.05,939.52,22.8,962.32,,356.81,1.74,75.97,21.25,223.66,15.62,33.75,111.24,840.05,122.28,0,122.28,,30.24,0,0.49,-0.26,30.46,91.81,91.81,91.81,,,36.02,36.02,,0,0,,0,0.0,,0,0.0,30
SPARC,Sun Pharma Advanced Research Company Ltd.,,238.78,0,238.78,238.78,10.88,249.66,,22.11,0,281.41,0,107,7.63,11.77,42.31,472.24,-222.58,0,-222.58,,0,0,0,0,0,-222.58,-222.58,-222.58,,,-7.82,-7.82,,0,0,,0,0.0,,0,0.0,0
SPCENET,Spacenet Enterprises India Ltd.,,142.11,0,142.11,142.11,0.42,142.53,,0,0,129.15,-0.01,1.78,0.32,0.19,8.4,139.82,2.7,0,2.7,,0,0,0,-0.11,-0.11,2.81,2.81,2.81,,,0.05,0.05,,0,0,,0,0.0,,0,0.0,0
SPECIALITY,Speciality Restaurants Ltd.,,374.97,0,374.97,374.97,23.74,398.71,,0,0,113.99,0,73.19,13.91,31.72,111.26,344.07,54.64,7.59,62.23,,0.06,0,-33.41,0,-33.35,95.58,95.58,95.58,,,20.35,20.24,,0,0,,0,0.0,,0,0.0,25
SPIC,Southern Petrochemical Industries Corporation Ltd.,,"2,819.27",0,"2,819.27","2,828.82",20.63,"2,849.45",,"1,890.21",114.24,0,27.27,73.3,30.93,43.73,370.01,"2,549.68",299.76,0,299.76,,74.81,0,-59.49,0,15.32,284.44,284.44,284.44,,,13.84,13.84,,0,0,,0,0.0,,10.18,0.0,15
SPLIL,SPL Industries Ltd.,,269.4,0,269.4,284.67,13.7,298.37,,9.95,202.09,29.05,-1.81,11.42,2.12,2.78,9.83,265.45,32.92,0,32.92,,8.39,0,-0.06,-0.11,8.22,24.69,23.84,23.84,,,8.22,8.22,,0,0,,0,0.0,,0,0.0,0
SPMLINFRA,SPML Infra Ltd.,,849.27,0,849.27,877.8,19.31,897.11,,58.58,0,706.2,0,26.48,49.83,2.98,50.38,894.45,2.66,0,2.66,,0.55,0,0,0,0.55,2.11,2.11,2.11,,,0.44,0.44,,0,0,,0,0.0,,0,0.0,0
SPYL,Shekhawati Poly-Yarn Ltd.,,299.42,0,299.42,301.73,1.96,303.69,,212.51,26.37,33.29,28.7,9.6,0.07,9.15,5.19,324.87,-21.18,0,-21.18,,0,0,0,0,0,-21.18,-21.18,-21.18,,,-0.62,-0.62,,0,0,,0,0.0,,0,0.0,0
SREEL,Sreeleathers Ltd.,,199.64,0,199.64,199.64,0.59,200.24,,0,150.94,0,-1.46,6.21,0.45,1.27,8.22,165.64,34.59,0,34.59,,9.13,0,-0.16,0.01,8.98,25.62,25.62,25.62,,,11.06,11.06,,0,0,,0,0.0,,0,0.0,0
SRF,SRF Ltd.,,"11,806.09",0,"11,806.09","12,073.84",106.06,"12,179.90",,"5,504.52",109.72,0,21.91,684.19,175.82,468.44,"2,559.44","9,524.04","2,655.86",0,"2,655.86",,581.99,94.13,144.64,0,632.5,"2,023.36","2,023.36","2,023.36",,,68.26,68.26,,0,0,,0,0.0,,213.43,0.0,72
SRHHYPOLTD,Sree Rayalaseema Hi Strength Hyp Ltd.,,"1,645.39",0,"1,645.39","1,650.12",34.11,"1,684.23",,572.51,653.81,0,18.06,38.78,4.75,19.35,186.47,"1,493.74",190.48,0,190.48,,36.26,0,-0.09,0,36.16,154.32,154.32,154.32,,,89.9,89.9,,297.7,847.46,,0,0.0,,6.01,0.0,40
SSWL,Steel Strips Wheels Ltd.,,"4,026.90",0,"4,026.90","4,040.54",12.4,"4,052.95",,"2,688.31",0,40.6,-24.67,283.72,83.54,80.44,609.78,"3,761.73",291.22,0,291.22,,95.05,0,2.28,0.1,97.42,193.8,193.8,193.8,,,12.39,12.39,,678.94,"2,009.37",,35.39,221.55,,11.74,0.0,100
STAR,Strides Pharma Science Ltd.,,"1,762.44",0,"1,762.44","1,854.50",84.07,"1,938.56",,"1,020.10",24.47,0,21.04,267.01,138.68,93.62,423.4,"1,988.32",-49.76,-15,-64.76,,-49.84,0,-19.6,0,-69.44,4.68,4.68,4.68,,,0.52,0.52,,0,0,,0,0.0,,0,0.0,0
STARPAPER,Star Paper Mills Ltd.,,482.72,0,482.72,492.69,21.71,514.4,,219.46,0,0,-24.71,26.89,0.56,5.28,191.32,418.8,95.6,-12.26,83.34,,21.33,0,-3.66,0,17.67,65.67,65.67,65.67,,,42.08,42.08,,0,0,,0,0.0,,5.46,0.0,50
STCINDIA,State Trading Corporation of India Ltd.,,0,0,0,0,85.04,85.04,,0,0,0,0,34.75,1.94,0,11.48,48.17,36.87,0.24,37.11,,4.22,0,0,0,4.22,32.89,32.89,32.89,,,8.92,8.92,,0,0,,0,0.0,,0,0.0,0
STEL,STEL Holdings Ltd.,,17.16,0,17.16,17.16,0,17.16,,0,0,0,0,0.13,0,0.05,0.55,0.74,16.42,0,16.42,,4.14,0,0,0.01,4.15,12.27,12.27,12.27,,,6.65,6.65,,0,0,,0,0.0,,0,0.0,0
STERTOOLS,Sterling Tools Ltd.,,588.54,0,588.54,597.65,5.88,603.54,,264.67,0,0,-10.29,45.41,8.12,30.87,211.48,550.26,53.28,3.44,56.72,,14.28,0,1.01,0,15.29,41.43,41.43,41.43,,,11.5,11.5,,0,0,,0,0.0,,3.6,0.0,100
STLTECH,Sterlite Technologies Ltd.,,"5,246.00",0,"5,246.00","5,356.00",175,"5,531.00",,"2,502.00",175,0,72,477,280,203,"1,388.00","5,097.00",434,0,434,,102,0,-4,0,98,336,336,76,,,1.89,1.88,,0,0,,0,0.0,,20,0.0,50
STYRENIX,Styrenix Performance Materials Ltd.,,"2,367.83",0,"2,367.83","2,372.27",15.1,"2,387.37",,"1,784.98",0,0,-8.61,72.23,5.33,38.02,248.46,"2,140.40",246.97,0,246.97,,65.27,0,-1.32,0,63.95,183.01,183.01,183.01,,,104.07,104.07,,0,0,,0,0.0,,325.33,0.0,"1,040.00"
SUBROS,Subros Ltd.,,"2,799.81",0,"2,799.81","2,806.28",20.57,"2,826.85",,"2,137.91",0,0,12.42,247.72,6.78,110.28,240.73,"2,755.84",71.02,0,71.02,,12.18,0,10.75,0,22.93,48.09,48.09,48.09,,,7.37,7.37,,0,0,,0,0.0,,4.57,0.0,50
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,,"1,951.60",0,"1,951.60","1,976.11",4.15,"1,980.26",,"1,163.88",0,0,54.67,126.95,36.69,111.11,449.13,"1,942.43",37.83,0,37.83,,0,0,7.25,-0.84,6.42,31.41,31.41,31.41,,,4.5,4.5,,0,0,,0,0.0,,34.61,0.0,75
SUNDARAM,Sundaram Multi Pap Ltd.,,114.37,0,114.37,114.37,4.32,118.69,,80.59,1.29,0,-1.87,9.89,4.09,3.89,15.22,113.1,5.59,-2.96,2.63,,0,0,0,0.04,0.04,2.59,2.59,2.59,,,0.05,0.05,,0,80.59,,0,0.0,,0,0.0,0
SUNDRMBRAK,Sundaram Brake Linings Ltd.,,353.1,0,353.1,354.84,2.77,357.6,,217.01,0,0,-3.3,42.9,3.72,6.11,96.57,363,-5.4,0,-5.4,,0,0,-0.62,0,-0.62,-4.78,-4.78,-4.78,,,-12.15,-12.15,,0,0,,0,0.0,,0,0.0,0
SUNFLAG,Sunflag Iron and Steel Company Ltd.,,"3,487.41",0,"3,487.41","3,488.42",7.02,"3,495.44",,"2,253.55",0,546.06,-29.75,107.82,81.1,80.65,164.91,"3,204.34",291.1,"1,192.86","1,483.96",,374.91,0,-5.45,0.18,369.64,"1,114.32","1,114.32","1,114.32",,,61.83,61.83,,0,0,,0,0.0,,0,0.0,0
SUNTV,Sun TV Network Ltd.,,"3,661.37",0,"3,661.37","3,661.37",362.03,"4,023.40",,0,0,673.84,0,274.57,5.37,467.82,363.68,"1,785.28","2,238.12",0,"2,238.12",,506.22,0,51.21,6.16,563.59,"1,674.53","1,674.53","1,674.53",,,42.49,42.49,,0,0,,0,0.0,,591.13,0.0,300
SUPERHOUSE,Superhouse Ltd.,,606.16,0,606.16,633.17,10.54,643.72,,316.79,64.94,101.28,6.12,44.91,10.72,14.67,57.42,616.85,26.87,0,26.87,,6.23,0,0.47,-0.03,6.67,20.2,20.2,20.2,,,18.32,18.32,,0,0,,0,0.0,,1.1,0.0,10
SUPERSPIN,Super Spinning Mills Ltd.,,79.66,0,79.66,85.56,0.16,85.72,,71.47,0,0,-2.42,8.87,3.27,2.34,15.41,98.94,-13.22,-4.89,-18.1,,0,0,0.93,0.53,1.46,-19.56,-19.56,-19.56,,,-3.56,-3.56,,0,71.47,,0,2.44,,0,0.0,0
SUPRAJIT,Suprajit Engineering Ltd.,,"1,427.71",0,"1,427.71","1,431.02",43.58,"1,474.60",,895.21,3.21,0,2.4,183.25,16.22,29.21,97.42,"1,226.92",247.68,0,247.68,,58.98,0,1.92,0,60.9,186.78,186.78,186.78,,,13.5,13.48,,0,0,,0,0.0,,29.75,0.0,230
SUPREMEIND,Supreme Industries Ltd.,,"9,137.30",0,"9,137.30","9,201.49",81.86,"9,283.35",,"6,424.60",128.81,0,45.83,373.63,8.02,263.39,"1,028.64","8,272.92","1,010.43",0,"1,010.43",,245.6,0,0.36,0,245.96,764.47,764.47,764.47,,,60.18,60.18,,0,0,,0,0.0,,304.87,0.0,"1,300.00"
